Source,Target,Type,Id,Label,Weight,first lines,note,editions,folio,last lines,facsimiles,attributed title,transcription,attributed author
DIMEV 312,CULGg4272,Undirected,271636,,1,"Alle beon he bliþeÞat to my song
                    lyþe…",1530 lines.,"Hall,  Joseph. 
             King Horn: A Middle-English Romance
         Oxford: Clarendon, 1901: 4-89.
French,  Walter Hoyt,  and  Charles Brockway Hale.  
             Middle English Metrical Romances.
         New York: Prentice-Hall, 1930: 25.
Michel,  Francisque,
                        ed.  
             Horn et Rimenhild.
Bannatyne Club
         80. Paris: Maulde et Renou, 1845: 259-338.
Lumby,  Joseph Rawson,
                        ed.  
             King Horn, Floriz and Blaunchfleur, The Assumption of Our Lady.
            
                G. H.
                McKnight
            
             EETS
         1901, o.s. 14 (1866); repr. 1990: 1943.
Mätzner,  Edouard Adolf Ferdinand. 
             Altenglische Sprachproben, I: Poesie.
         Berlin: Wiedmann, 1867: 1.209.
Morris,  Richard,  and  Walter William Skeat, eds.  
             Specimens of Early English , Pt. I, A.D. 1150-A.D.1300.
         Oxford: Clarendon, 1882, 2nd ed. 1885; Pt. II, A.D. 1298-A.D.1393,
            Oxford: Clarendon, 1872, 2nd ed. 1894; Pt. III. Orig. published separately,
            1871: 1.237.
Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 126-30 (excerpt).
Allen,  Rosamund,
                        ed.  
             King Horn: An Edition Based on Cambridge University Library MS Gg
                4.27.
         New York: Garland, 1984. 
Hertzman,  Ronald B., Graham Drake,   and  Eve Salisbury, eds.  
             Four Romances of England: King Horn, Havelok the Dane, Bevis of Hampton,
                    Athelston.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1999.",pp. 11a-25b,"…Iesus þat is of heuene king¡eue vs alle his suete
                    blessing","Parkes,  Malcolm B.,  and  Richard Beadle.  
             “Introduction.” 
             Poetical Works. Geoffrey Chaucer. A Facsimile of Cambridge University
                Library MS Gg.4.27. 3 vols Cambridge: D. S. Brewer, 1979 (vol. 1); 1980 (vols. 2-3).",,,
DIMEV 312,BLHar2253,Undirected,271637,,1,"Alle heo ben blyþeþat tomy song
                    ylyþe…",1546 lines; written two lines of verse per line in MS.,"Hall,  Joseph. 
             King Horn: A Middle-English Romance
         Oxford: Clarendon, 1901: 4-89.
Ritson,  Joseph,
                        ed.  
             Ancient English Metrical Romances.
         3 vols. London, 1802; rev. Edmund Goldsmid and repr. Edinburgh:
            Goldlsmid, 1884: 2.91-155.
Wissmann,  Theodor. 
             Das lied von King Horn.
Quellen und Forschungen
         45. Strassburg: Trübner, 1881. 
Dunn,  Charles W.,  and  Edward T. Byrnes, eds.  
             Middle English Literature.
         New York, 1973; 2nd ed. New York: Garland, 1990: 114-49 (critical text).
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 70.",ff. 83r2-92v,"Þon hue beoþ boþe dedecrist to heouene vs
                    lede","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",Her bygynneþ þe geste of Kyng Horn (f. 83),,
DIMEV 333,BodLauMis108,Undirected,271674,,1,"Alle hilewene day we holdeȝ one time in þe ȝerefor
                    manie enchesones holie churche þare to us gan lere…",,"Horstmann,  Carl,
                        ed.  
             The Early South-English Legendary.
EETS
         o.s. 87 (1887; repr. 1987): 418-20.",ff. 174-175,"…Nou bidde alle halewene þat we heore feste holden
                    soÞat huy us bringuen to þe heyȝe Ioye þare huy buth
                    inne ido",,,,
DIMEV 334,BLHar2253,Undirected,271687,,1,"Alle herkneþ to me noua strif wolle y tellen
                    ou…",,"Collier,  John Payne. 
             Five Miracle Plays or Scriptural Dramas.
         London, 183. 
Halliwell-Phillipps,  James Orchard. 
             The harrowing of hell, a miracle-play written in the reign of Edward
                the Second, now first pub. from the original manuscript in the British Museum, with
                an introduction, translation, and notes.
         London: J. R. Smith, 1840. 
Mall,  Eduard,
                        ed.  
             The Harrowing of Hell: Das altengliche Spiel von Christi
                Höllenfahrt.
         Breslau: Maruschke & Berendt, 1871. 
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 270-84.
Hulme,  William Henry,
                        ed.  
             The Harrowing of Hell and Gospel of Nicodemus.
EETS
         e.s. 100 (1908); repr. 1976. 
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 4, no. 21.",ff. 55va-56vb,"…Ant ȝef vs grace to libbe & endeIn þi seruice
                    ant to heuene wende","Varnhagen,  Hermann,
                        ed.  
             Praemissa est editionis criticae vetustissimi quod sermone anglico
                conscriptum est dramatis pars prior.
         Erlangen: Iunge, 1898. 
Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 334,NLS1921,Undirected,271688,,1,…mare[ ]helle fare…,"Begins imperfectly at line 29; ends imperfectly; portions of both folios
                    35 and 37 cut away, with loss of text; 200 lines plus 44(?) line-ends, excluding
                    Latin speech-prefixes.","Varnhagen,  Hermann,
                        ed.  
             Praemissa est editionis criticae vetustissimi quod sermone anglico
                conscriptum est dramatis pars prior.
         Erlangen: Iunge, 1898. 
Hulme,  William Henry,
                        ed.  
             The Harrowing of Hell and Gospel of Nicodemus.
EETS
         e.s. 100 (1908); repr. 1976. 
Laing,  David,  and  William Barclay David Donald Turnbull, eds.  
             Owain Miles &c.
         Edinburgh, 1837.",ff. 35vb-37ra,"…Lord þou ȝaue me al wiþ skilÞe lay sinay
                    on þe hil…","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 362,BodLauMis108,Undirected,271748,,1,"Alle Soulene day on erþe riȝht is to holde heiȝefor
                    alle we schullen habben neode þarto for alle we schullen
                    deiȝe…",,"Horstmann,  Carl,
                        ed.  
             The Early South-English Legendary.
EETS
         o.s. 87 (1887; repr. 1987): 420-31.",ff. 175-179v,"…And led us to oure riȝhte heritage for þou
                    bouȝhtest us þar toNe leos nouȝht þat þou deore
                    bouȝhtest þei we sumdel mis do",,,,
DIMEV 364,NLS1921,Undirected,271762,,1,"Al þat ben in dedly sinne & þenk wiþ merci to
                    meteLeue in crist þat ȝaue ȝou wiit ȝour sinnes forto
                    bete…","Begins 16rb, but first 4 lines cut out of MS; written half
                    line of verse per line of MS (one couplet per two lines); or quatrains,
                    abcb.","Turnbull,  William Barclay David Donald,
                        ed.  
             Legendae Catholicae.
         Edinburgh, 1840: 71-122.
Horstmann,  Carl. 
             Altenglische Legenden: Neue Folge.
         Heilbronn: Henninger, 1881: 22-35.",ff. 16va-21ra,"…& grace forto ȝeme ous Out of dedli sinne& grant
                    ous þe miche ioie Þer seynt mergrete is inne","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",Seynt Mergrete (f. 16rb),,
DIMEV 366,CULAdd4407a,Undirected,271764,,1,"…of qwom þat god haued don is willeMe þonketh
                    þat deþe haue done vs wrongÞat he so sone schal liggen
                    stilleEngelond þou aghtes wel to knowe…","Fragments a (lines 6-12), b (lines 20-29), c (lines 83-8 with 4 new
                    lines).","Skeat,  Walter William. 
             “‘Elegy on the Death of King Edward I’ from a New
                MS.” 
             Modern Language Review
         7 (1912): 149-52: 149.",,"…þou ȝeue hys soule mechil onurAnd brink yt into
                    heuene blis",,,,
DIMEV 366,BLHar2253,Undirected,271765,,1,"Alle þat beoþ of huerte trewea stounde herkneþ to my
                    song…",91 lines; written two lines of verse per line in the MS.,"Percy,  Thomas. 
             Reliques of Ancient English Poetry.
         3 vols. London: J. Dodsley, 1765, and subsequent editions: 2.7.
Warton,  Thomas. 
             The History of English Poetry.
         London, 1824; rev. ed., 
                William Carew
                Hazlitt
             London, 1871: 1.106.
Wright,  Thomas,
                        ed.  
             The Political Songs of England.
Camden Society
         o.s. 6 (1839): 246-50.
Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 158-60.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 140.
Segar,  Mary Gertrude,  and  Emmeline Paxton, eds.  
             Some Minor Poems of the Middle Ages.
         London, NY: Longmans, Green, 1917: 15.
Aspin,  Isabel Stewart Tod. 
             Anglo-Norman Political Songs.
         Oxford: Clarendon, 1953: 90-2.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin-Charlottenburg: E. Schütt, 1954: 367.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 357.
Robbins,  Rossell Hope,
                        ed.  
             Historical Poems of the XIV and XV Centuries.
         New York: Columbia UP, 1959: 21.
Davies,  Reginald Thorne. 
             Medieval English Lyrics: a critical anthology.
         London, 1963; Evanston, IL: Northwestern UP, 1964: 91-4.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 47.",ff.9 73-73v,"…bidde we god ant oure ledyto þilke blisse iesus vs
                    sende","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 367,NLS1921,Undirected,271766,,1,"Alle þat euer gon and ridenþat willeȝ godes merci
                    abiden…","135 lines, ends imperfectly, due to folio 72a being nearly completely
                    torn out (only a stub remains).","Laing,  David,
                        ed.  
             A Penni Worth of Witte, Florice and Blauncheflour….
Abbotsford Club
         29. Edinburgh, 1857: 92-6.
Kölbing,  Eugen. 
             “Kleine Publicationen aus der Auchinleck-HS: VI. Das Vater
                unser.” 
             Englische Studien
         9 (1886): 47-9: 47-9.",ff. 72ra-72ara,"…þan [ ]þer [ ]At þ[ ]þer [
                    ]…","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",Þe pater noster vndo on englissch (f. 72ra),,
DIMEV 370,NLS1921,Undirected,271771,,1,"…Þerl him graunted his wille ywis þat þe kniȝt
                    him hadde ytoldþe barouns þat were of miche pris bi forn him
                    þai weren y[ ]…","Lines 1-268 missing in this MS; begins imperfectly at line 269; ends
                    imperfectly. Lines correspond to 269-1330 of Vernon text. Long-line couplets or
                    quatrains, abab, written two verse lines to a line of MS.","Keller,  Carl. 
             Die mittelenglische Gregoriuslegende.
         Heidelberg: Winter; New York: Stechert, 1914. 
Turnbull,  William Barclay David Donald,
                        ed.  
             Legendae Catholicae.
         Edinburgh, 1840: 1-67.
Schulz,  Fritz. 
             Die Englische Gregorlegende.
         Königsberg: Hartungschen, 1876: 25.",ff. 1-6v,"…Þer ich him feterd fast & bond he me suffred & stille
                    lay& þe keye wiþ mi riȝt hond in to [ ] y cast
                    away","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 374,BodDig86,Undirected,271778,,1,"Alle þat louieþ Godes loreOlde and ȝonge lasse and
                    more…",,,ff. 122v-125v,"…Wiþ ihesu seinte marie soneEuere wiþ houten
                    hende","Tschann,  Judith A.,  and  Malcolm B. Parkes.  
             “Introduction.” 
             Facsimile of Oxford, Bodleian Library, MS Digby 86
EETS
         s.s. 16 (1996).","Ci comence la vie seint Eustace qui out noun placidas (f.
                        122v)",,
DIMEV 376,NLS1921,Undirected,271785,,1,,"As headlink to Prologue to the ‘Long Life of Christ’ (6380); couplets written half line
                    of verse per line of manuscript.",,f. 66ra,,,[Our] leuedis moder (f. 65vb),"Al þat þe prophetes schewed whilom In her prophecieAl it
                    was of our lord & of his moder marieBoþe moyses and abraham Jonas
                    & helyeDauid & daniel & þe holy geromie",
DIMEV 392,BodLauMis108,Undirected,271819,,1,"Al þis bok is i maked of holi dawes and of holie mannes
                    liuesÞat soffreden for ore louerdes loue pinene manie and
                    riue…","This version ends this story/text four lines later than the usual,
                    including in this stody the first four lines of 4594, ending, ‘He let him martri þere
                    fore and oþere with him mo’.","Horstmann,  Carl. 
             “Die Legenden des ms. Laud 108.” 
             Archiv für das Studium der neueren Sprachen und
                Literaturen
         4 (1872): 395-414: 405.
Horstmann,  Carl,
                        ed.  
             The Early South-English Legendary.
EETS
         o.s. 87 (1887; repr. 1987): 177-8.",ff. 88-88v,"…Ase it falleȝ a twelfte dai longe heo erore him
                    fouȝtenGold and mirre and an sens In presaunt heo him
                    brouȝten",,,,
DIMEV 474,NLS1921,Undirected,272021,,1,"…[An an]gel sche sent to him anon[He] gret þe clerk
                    wiþ milde steuen…","Portion of f. 37 cut away, with loss of beginings of lines in second
                    column, verso.","Horstmann,  Carl. 
             Altenglische Legenden: Neue Folge.
         Heilbronn: Henninger, 1881: 499-502.
Boyd,  Beverly May,
                        ed.  
             Middle English Miracles of the Virgin.
         New York: Columbia UP, 1955; San Marino, CA: Huntington Library,
            1964: 24.",ff. 37vb-38vb,"…Bring ous for þine ioies fiueInto þe swete blis of
                    heuen","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 493,CamTCC323,Undirected,272105,,1,"On leome is in þis world ilistÞer of is muchel prisA
                    risen is god & þat is ristFrom deþe to
                    lif…",,"Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 34-7.
Silverstein,  Theodore,
                        ed.  
             Medieval English Lyrics.
         York Medieval Texts. London: Edw. Arnold, 1971: 15-17.",ff. 32v-33,"…Comit iblesede in to roþat lesten sal eueir
                    more",,,,
DIMEV 524,NLS1921,Undirected,272152,,1,"…& liued in dedeli sinneSeyn Patrike hadde
                    rewþe…","1186 lines including imperfect beginning and lacuna at f.
                        31ra.","Laing,  David,  and  William Barclay David Donald Turnbull, eds.  
             Owain Miles &c.
         Edinburgh, 1837. 
Kölbing,  Eugen. 
             “Zwei mittelenglische bearbeitungen der sage von St. Patrick’s
                purgatorium.” 
             Englische Studien
         1 (1877): 57-121: 98-112.
Foster,  Edward E.,
                        ed.  
             Three Purgatory
                    Poems: The Gast of Guy, Sir Owain, The Vision of Tundale.
         Kalamazoo, MI: Western Michigan University for TEAMS, 2004.",ff. 25ra-31vb,…Graunt ous heuen blis aboueBi for his swete face,"Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 526,NLS1921,Undirected,272154,,1,"…& Martha keped swiþe welHir londes euerich a
                    del…","Begins imperfectly, with line-ends of lines 53-96 on stub f.
                        61avb; 692 lines including lacuna, f. 65ra, plus 44
                    line-ends; last few words cut out with miniature at bottom of
                    column.","Turnbull,  William Barclay David Donald,
                        ed.  
             Legendae Catholicae.
         Edinburgh, 1840: 213-57.
Horstmann,  Carl. 
             Sammlung altenglischer Legenden.
         Heilbronn: Henninger, 1878: 163-70.",ff. 62ra-65vb,"…Þat euer schal left wiþ outen endeAmen amen sigge
                    al weGod it ous graunt [ ]","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 594,BodDig86,Undirected,272275,,1,"As I com bi an waieHof on ich herde saieFul modi mon &
                    proudWis he wes of lore…","Modern transcription is San Marino, CA,  Henry Huntington Library HM 183 [olim Hawkins], ff.
                    10.1-10.7.","Mätzner,  Edouard Adolf Ferdinand. 
             Altenglische Sprachproben, I: Poesie.
         Berlin: Wiedmann, 1867: 1.103.
Wright,  Thomas. 
             Anecdota Literaria.
         London: John Russell Smith, 1844: 1.
Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 137-44.
McKnight,  George Harley. 
             Middle English Humorous Tales in Verse.
         Boston and London: Heath, 1913; repr. New York: Gordian, 1971: 83.
Cook,  Albert Stanburrough. 
             A Literary Middle English Reader.
         Boston and New York: Ginn, 1915: 142-58.
Brydges,  Sir Samuel Egerton,  and  Joseph Haslewood.  
             The British Bibliographer.
         4 vols. London: T. Bersley, vol. 1: 1810; vols. 2, 3: 1812; vol. 4:
            1814: 4.193-200 (extracts).
Brandl,  Alois Leonhard. 
             Mittelenglische Sprach- und Literatureproben.
         2nd ed. Berlin, 1917; repr. as  Middle English
                Literature New York: Chelsea, 1949: 118-23.
Sampson,  George. 
             The Cambridge Book of Prose and Verse.
         Cambridge: at the UP, 1924: 416.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 482-5 (396 lines only).
Bennett,  Jack Arthur Walter,  and  G. V. Smithers, eds.  
             Early Middle English Verse and Prose.
         Oxford: Clarendon, 1966: 80-95.
Owen,  Lewis J.,  and  Nancy H. Owen, eds.  
             Middle English Poetry: An Anthology.
         Indianapolis and NY: Bobbs-Merrill, 1971: 307.
Dunn,  Charles W.,  and  Edward T. Byrnes, eds.  
             Middle English Literature.
         New York, 1973; 2nd ed. New York: Garland, 1990: 174.
Garbáty,  Thomas,
                        ed.  
             Medieval English Literature.
         Lexington, MA, and Toronto: D. C. Heath, 1984: 442.
 Bad Key: Benson1971: 372.
Dunn,  Charles W.,  and  Edward T. Byrnes, eds.  
             Middle English Literature.
         New York, 1973; 2nd ed. New York: Garland, 1990: 175-87.",ff. 165-168,"…An eni clerc of luve hire bedeBote hoe graunte & lete him
                    spede","Tschann,  Judith A.,  and  Malcolm B. Parkes.  
             “Introduction.” 
             Facsimile of Oxford, Bodleian Library, MS Digby 86
EETS
         s.s. 16 (1996).","Ci comence le fablel & la cointise de dame siriz (f.
                    165)",,
