Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 29	A dear God have I deserved this / This dear destiny to dread	"The refrain appears as a proverb in Rylands Lat. 394, f. 3v, pr. Pantin (1930)
XPantin, William A. “A Medieval Collection of Latin and English Proverbs…from Rylands Latin MS. 394.” Bulletin of the John Rylands Library 14 (1930): 81-114 (at p. 94)"	lovers, addresses to beloved; complaints, lovers’	— eight-line	To his mistress — seven 8-line stanzas with refrain: ‘That ons was leffe lette neuer be lothe’						Text
DIMEV 30	A dear God what may this be / That all thing wears		Edward III, death of; elegies	— eight-line — ababbcbc	On the Death of Edward III — fourteen 8-line stanzas with refrain: ‘Selden seiȝe and sone forȝete’						Text
DIMEV 31	A deer broken		hunting	— two-line — irregular	List of terms of venery — varying number of lines in rough couplets						Text
DIMEV 32	A Doomsday we shall I-see		Doomsday, songs of; carols, of Doomsday	— four-line	A song on Doomsday — four quatrains and burden: ‘Hay hay take goode hede wat you say’						Text
DIMEV 33	A dragon with a red rose that is of great fame		prophecies; games	— four-line — abab	An English prophecy, with Latin interpolations, including ‘Cast of the Dice’ (cf. 6412) — 85 lines in cross-rhymed quatrains						Text
DIMEV 34	A faithful friend would I fain find	"Cf. 2496 and 6327; Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 11.5."	purse poems	— eight-line — ababbcbc	‘Gramercy myn own purse’ — five 8-line stanzas				‘Gramercy myn own purse’		Text
DIMEV 35	A false beginning		greed; advice, moral	— three-line — aaa	Cupiditas est — three lines						Text
DIMEV 36	A false behighting		sermons, verse in	— three-line — aaa	Phrases describing three evils, in a sermon — three monorhyming lines						Text
DIMEV 37	A fasting belly	"Cf. Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950 B. 303; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 9."	proverbs	— two-line — aa	A proverbial saying about hunger — one couplet						Text
DIMEV 38	A feigning of righteous living		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 39	A ferly thing it is to mean		carols, Nativity	— ten-line, two-line — ababcccddd	A Christmas carol — six 10-line stanzas with wheel rhyme, and burden: ‘Aye aye this is the day / That we shall worshep euer and eye’						Text
DIMEV 40	A filth that God almighty hateth		sin	— two-line — aa	On sin — two couplets in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 41	A flower is sprungen that shall never fail		Nativity	— seven-line — ababbcc	Song at the Nativity: poem occurring in only this MS of the English translation of the Pèlerinage de l’âme — five stanzas rhyme royal				Pèlerinage de l’âme		Text
DIMEV 42	A fools bolt / Is soon I-shotten	"Cf. 714, line 421; 2800, st. 7; cf. also Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, F. 515; Meech (1940)
XMeech, Sanford Brown. “A Collection of Proverbs in Rawlinson MS D 328.” Modern Philology 38 (1940-41): 113-32, 130."	proverbs	— two-line — aa	A proverbial couplet						Text
DIMEV 43	A for Alyn Mallson that was armed in a mat	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 10"	ribaldry	— two-line — aa	A ‘Crosse Rowe’ poem ribald in character — 46 lines in long couplets.						Text
DIMEV 44	A for Gods will / What mean ye sirs to stand so still	"Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 414.5"	legends	— five-line, six-line, eight-line — aabab, aabccb, aaabcccb	Henry Medwall, Fulgens & Lucrece (c. A.D. 1497) — in mixed stanzas of five-, six- and eight-line stanzas		Henry Medwall		Fulgens et Lucrece		Text
DIMEV 45	A forward knave plainly to describe	Cf. 6601.	ballads; satire; envoys	— eight-line — ababbcbc	John Lydgate, ‘A Satyrical Ballad against Jack Hare’ — ten 8-line stanzas with refrain: ‘Whiche of a bolle can pluk out the lyneng’		John Lydgate		‘A Satyrical Ballad against Jack Hare’		Text
DIMEV 46	A fox gan out of the wood go		fables	— two-line — aa	Of the Vox and of the Wolf — 295 lines in couplets				Of the Vox and of the Wolf		Text
DIMEV 47	A friar an hayward a fox and a fulmar sitting on a row	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 11."	nonsense verse	— two-line — aa	Nonsense verses — one long couplet						Text
DIMEV 48	A ghostly knitting		sermons, verse in	— four-line — aaab	A verse tag in a collection of sermons by John Waldeby — one quatrain		John Waldeby				Text
DIMEV 49	A ghostly substance in making		sermons, verse in; Holy Ghost	— three-line — aaa	Characteristics of the Holy Ghost, in a Latin sermon — three monorhyming lines						Text
DIMEV 50	A girdle of guile		sermons, verse in	— three-line — aab	The refrain of a dance-song, quoted in a sermon — three lines						Text
DIMEV 51	A God and yet a man		Incarnation	— four-line — abab	The mystery of the Incarnation — three cross-rhymed quatrains						Text
DIMEV 52	A golden bee in a sows wroot		women, erring	— two-line — aa	On erring women — one couplet						Text
DIMEV 53	A good beginning / Maketh a good ending	"Cf. 3383; 6467; Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950 B 259; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 12."	proverbs	— two-line — aa	A proverbial couplet						Text
DIMEV 54	A good man there was and a clean / A clerk men callen John	For other versions, see 58 and 2965. See also 601, 2655.	debates; legends	— two-line — aa	The story of Barlaam and Josaphat — in couplets				Barlaam and Josaphat		Text
DIMEV 55	A good scholar if thou wilt be	"Followed by 54 other proverbs, some in couplets, many single-lined; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 13."	proverbs	— two-line — aa	A proverbial couplet						Text
DIMEV 56	A good tale hereby lies / Of a woman that hight Thais	For other MSS see 4975.	Thais, saint, life of	— two-line — aa	Thais, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 57	A good wife and a fair		proverbs; women, praise of; debates	— two-line — aa	A proverbial couplet from Salomon and Marcolphus						Text
DIMEV 58	A great clerk Damascene great writ / How Saint Barlaam	For other versions see 54 and 2965.	debates; legends	— two-line — aa	Barlaam and Josaphat — from the Northern Homily Cycle				Barlaam and Josaphat ; Northern Homily Cycle		Text
DIMEV 59	A great lord in a land gan wone		Wise Son, story of	— two-line — aa	Story of the Wise Son, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 60	A great prince may have no more vice		epilogues; princes, advice to; advice, to princes; greed; James I, king of Scotland, 1406-1437	— two-line — aa	Advice to princes to avoid avarice and seek to win the love and regard of their men, as epilogue at conclusion of a prose account of the death of James Stewart (James I), King of Scotland, 1406-1437, either John Shirley’s translation from the Latin of The Moste Pitevous Cronicle of th’ Orribill Dethe of the Kyng of Scottes or John de Meun’s translation from Latin into French — four couplets		John Shirley		The Moste Pitevous Cronicle of th’ Orribill Dethe of the Kyng of Scottes		Text
DIMEV 61	A hart harboreth		lodging, terms of	— two-line — aa	A list of proper terms						Text
DIMEV 62	A hende knight hight Placidas / But a heathen man	For a variant text see 5594.	Eustace, saint, legend of; legends	— two-line — aa	Legend of St. Eustace, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 63	A holy confessor thou were one		Francis of Assisi, saint, prayer to; saints, prayers to	— four-line, two-line — aaab, aa	John Audelay, An Orison to St Francis — thirteen quatrains (aaab) and burden: ‘Saynt frances to þe I say / Saue þi breder boþ nyȝt & day’		John Audelay				Text
DIMEV 64	A holy man beyond the sea / Was bishop of a great city	Northern Homily Cycle — in couplets	penance; two-line		The Knight who did penance among worms, in the Northern Homily Cycle						Text
DIMEV 65	A holy man stood on a day		exempla	— two-line — aa	A Man in the Devil’s leash, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 66	A holy monk had great yearning / In his life to see tokening	For another version see 4991.	tales, religious didactic	— two-line — aa	The Monk who wished to see the least Joy in Paradise, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 67	A holy woman that hight Saint Bride		Bridget, saint; Passion, worship of	— two-line — aa	How St Bridget was instructed to worship the Passion — twelve couplets						Text
DIMEV 68	A Jake Juggler that juggles with a cake	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 14."	doggerel	— two-line — aa	A doggerel couplet						Text
DIMEV 69	A Jesu Christ crown of maidens all		saints’ lives; Katherine of Alexandria, saint, life of	— seven-line — ababbcc	John Capgrave, Life of St Katherine — rhyme royal		John Capgrave		Life of St Katherine		Text
DIMEV 70	A Jesu Christ that us is above [A Iesu Crist that ous is boue]		Christ; prayers, to Christ	— two-line — aa	A prayer to Jesus that we may live in such a way as to come to heaven — five couplets						Text
DIMEV 71	A Jesu so fair and free / Sweetest of all thing		Christ; love, toward Jesus	— eight-line — abababab	A hymn of love to Jesus, vaguely based on the preceding Latin, O amor vehemens, Iesu dulcissime… — one 8-line stanza						Text
DIMEV 72	A Jesu Thou shed Thy blood / For dred of thine thou wist sold be		Cross, hours of	— eight-line — abababab	Hours of the Cross — eighteen 8-line stanzas						Text
DIMEV 73	A Jesu thy sweetness who might it see	"Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 79."	prayers, to Jesus	— four-line — abab	William Meniman, a prayer to Jesus — four quatrains		William Meniman				Text
DIMEV 74	A Jews child in Buterie while by old daw		Virgin Mary, miracles of; miracles	— two-line — aa	The little Jew, a miracle of the Virgin, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 75	A kindly likeliness that is worhipful and glorious		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 76	A king governing in kindly goodliness		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 77	A king out of the North shall come		Merlin; prophesies	— two-line — aa	‘Marlin’s prophecy’ — forty-nine lines in couplets						Text
DIMEV 78	A king sometime in country was		Cross, feast of the Exaltation of		Story of the Feast of the Exaltation of the Cross						Text
DIMEV 79	A king there was sometime and eke a queen		tales, religious didactic	— two-line — aa	‘The Thre Priests of Peblis’ — in couplets				‘The Thre Priests of Peblis’		Text
DIMEV 80	A kings son and an emperor	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 15."	carols, Nativity	— four-line, five-line — aaab, abbbb	‘Proface’, a Christmas carol — four stanzas (aaab) with ‘Proface’ refrain and five-line burden: ‘Proface, welcom, wellcome / This day ys borne a chylde of grace / That for vs mankynde hathe take proface / This day is born a child of grace / That for vs mankynde hathe take proface’						Text
DIMEV 81	A knight that is hardy as a lion	For a variant text see 5778.	mutability; transitoriness, of world	— seven-line — ababbcc	John Lydgate, eight stanzas expounding refrain: ‘None of all these I doo yow well assure / Off kyndely ryght may no while endure’ — eight stanzas rhyme royal		John Lydgate				Text
DIMEV 82	A knight there was by old daw lither man enow		Virgin Mary, miracles of; miracles	— two-line — aa	The Devil in Service, a miracle of the Virgin, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 83	A knight there was in England by north here beside		Virgin Mary, miracles of; miracles; miracles	— two-line — aa	The Oxford Scholar, a miracle of the Virgin, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 84	A knight there was in land while great man withall and wise		Virgin Mary, miracles of; miracles	— two-line — aa	Saved by learning Two Words, a miracle of the Virgin, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 85	A knight was while a rich man that honoured much mid all	Cf. 2758, 3913.	Virgin Mary, miracles of; miracles	— two-line — aa	A miracle of Our Lady, the Virgin Mary comes to Devil instead of Victim, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 86	A lady had my love let the bull begin to bellow		nonsense verse; ribaldry	— irregular	Nonsense verses addressed to lovers — two stanzas with refrain, ‘With a m an a I þe bolle get in þe corne / but mi leman loue well as ryt as ramis orn’.						Text
DIMEV 87	A lady bright fair and gay		love lyrics; songs	— eight-line — aaa + bcccc	A song on jealousy — 8 lines						Text
DIMEV 88	A lady that was so fair and bright	For a thirteenth-century version see 4198.	Virgin Mary, songs in honour of	— four-line — abab	A macaronic song in honour of the Virgin Mary — seven quatrains	Latin					Text
DIMEV 89	A ladys heart for to want pity		love lyrics; roundels	— twenty-one-line — abbbaaababbaababaabba	A roundel (associated with Charles d’Orléans) — 21 lines		Charles d’Orléans				Text
DIMEV 90	A lesson of lowness		sermons, verse in; advice, moral; aphorisms	— three-line — aaa	Verses in a Latin sermon — three short rhyming phrases						Text
DIMEV 91	A lesson of mercy and forgiveness		sermons, verse in; advice, moral; sin; mercy	— two-line — aa	Verses about lessons to be learned to withstand sin, in a Latin sermon — two couplets						Text
DIMEV 92	A lion rampant with his paw		sermons, verse in; aphorisms	— two-line — aa	Verses in a collection of friar sermons — two couplets						Text
DIMEV 93	A little child there is I-bore / I-sprung out of Jesses more	For a variant see 5740.	Christmas carol	— four-line, two-line — aaab, aa	A Christmas carol — five quatrains, aaab, including refrain, ‘Gloria tibi Domine’, and burden (bb): ‘Gloria tibi Domine / qui es natus de virgine’	Latin					Text
DIMEV 94	A little in the morning nothing at noon	"See 6015; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 21"	proverbs	— two-line — aa	A proverb — one couplet						Text
DIMEV 95	A little tale I will you tell / I trow it will like you well		hunting	— six-line — aabccb	The Huntyng of the Hare — in 6-line stanzas						Text
DIMEV 96	A little tale I will you tell	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 22."	domestic life; carols, secular	— four-line — aaab	Strife in the house! a carol — fourteen quatrains (aaab) including refrain, ‘At þe townys end’ plus burden (cc): ‘Alas sayd þe gudman thi ys an hevy lyff / And all ys well þat endyth well said þe gud wyff’						Text
DIMEV 97	A lo mine heart what told I thee		love lyrics; roundels	— fourteen-line — abbaabababbaab	A roundel — 14 lines		Charles d’Orléans				Text
DIMEV 98	A Lord Christ of heaven bliss thou art king		Christ, prayers to; prayers to Christ; confession, form of	— two-line — aa	A prayer to Christ — two couplets						Text
DIMEV 99	A lord god mercy qui verba cuncta creasti		prayers, to God; God, prayers to; mercy, plea for	— two-line — aa	Prayer to God for mercy — one macaronic couplet	Latin					Text
DIMEV 100	A Lord God of mights most / Father and Son and Holy Ghost		Trinity, treatise on	— two-line — aa	William of Nassington, Tractatus de Trinitate et Vnitate — in couplets		William of Nassington		Tractatus de Trinitate et Vnitate		Text
DIMEV 101	A lord king of might that leaven wouldst thy might		Passion, meditations on	— irregular, two-line — aa	Irregular rhyming lines in Rolle’s Meditations on the Passion (Text A only) — ten and four lines		Richard Rolle		Meditations on the Passion		Text
DIMEV 102	A lords purpose and a ladys thought		mutability	— two-line — aa	Proverbial couplet on the changeability of lord’s purpose and woman’s thought — one couplet						Text
DIMEV 103	A loss of heal and liking / A body dressed to dying		sermons, verse in	— three-line — aaa	Verses in a Latin sermon — three short rhyming lines						Text
DIMEV 104	A maid Christ me bid yerne		love, toward Jesus; love, divine and human	— eight-line — abababab	Thomas de Hales, ‘A Luue ron’ — twenty-six stanzas abababab		Thomas de Hales O.F.M.		‘A Luue ron’		Text
DIMEV 105	A maid peerless	"Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 26."	Virgin Mary, songs in honour of; songs	— six-line — aabccb	In praise of the Virgin Mother — three 6-line stanzas (aabccb) with burden (dd): ‘She may be callyd a souerant lady / That ys A mayd and beryth a baby’						Text
DIMEV 106	A maiden mild hath born a child		carols, Nativity	— four-line — abab, bbbb	James Ryman, A Christmas carol — seven quatrains (abab) plus four-line burden (bbbb): ‘Bothe man & chielde haue myende of þis / How god is sonne of blis / Of Marie myelde man becomme is / To deye for mannys mys’		James Ryman				Text
DIMEV 107	A man is a mirrour of sorrow and woe	Cf. 1825.	human life, transitory nature of; transitoriness, of life	— two-line — aa	The ephemeral nature of man — two couplets						Text
DIMEV 108	A man may awhile	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 25."	warnings; advice, moral	— seven-line — aabbbbb	‘War before’ — one 7-line stanza				‘War before’		Text
DIMEV 109	A man of great devotion / Was some time in Religion		Virgin Mary, miracles of	— two-line — aa	A miracle of Our Lady, the Virgin Mary gives her milk to a monk — forty couplets						Text
DIMEV 110	A man that hath a wart above his shin		proverbs	— two-line — aa	A proverb — one couplet						Text
DIMEV 111	A man that hath little to doon	For a version in 7-line stanzas and early prints, see 2557.	romances	— two-line — aa	Generides (Version A) — 10086 lines in couplets				Generides		Text
DIMEV 112	A man that loveth fishing and fowling both		lovers, advice to; hunting; allegorical poems	— two-line — aa	Piers of Fulham’s ‘many praty conceytis in love vnder covert termes off fysshyng and ffowlyng’ — in couplets		Piers of Fulham				Text
DIMEV 113	A man that should of truth tell		carols; social comment	— four-line, two-line — aaab, aa	Truth is unpopular: a carol — six quatrains and burden: ‘God be wit trewthe qwer he be / I wolde he were in this cuntre’						Text
DIMEV 114	A man that will of wisdom lere / Harken to the book of prophecies here	For MSS without the Prologue see 5125; for others with a 16-line Prologue see 6829.	prognostications; weather	— two-line — aa	Prognostics for the year, according to the day on which New Year falls, with a Prologue of twenty-two lines.						Text
DIMEV 115	A man there was in Israel while by daw		Virgin Mary, Conception of; Joachim and Anna, parents of the Virgin Mary	— two-line — aa	The Conception of Mary, in one MS of the South English Legendary — in couplets				South English Legendary		Text
DIMEV 116	A man was of the Pharisees / That prince was holden of the Jews	For other texts see 3716 and 4629.	sermon texts, Gospel	— two-line — aa	Gospel for Trinity Sunday in the ‘expanded’ Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 117	A man was the first guilt		carols, Nativity	— four-line, two-line — aaab, aa	A Christmas carol — four quatrains and burden: ‘All þat leue in Christen lay / Worschup euery Cristmes day’						Text
DIMEV 118	A man without mercy mercy shall miss	"Cf. 712, 1369, and 1845; Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, M 895; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 28."	virtues; mercy; aphorisms	— two-line — aa	On mercy — one couplet						Text
DIMEV 119	A marvelous thing I have mused in my mind	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 29."	Incarnation; carols	— four-line, two-line — abab, aa	A carol of the Incarnation — three quatrains (abab) and burden: ‘Mirabilem misterium / The Son of God ys man becum’	Latin					Text
DIMEV 120	A merchant whilom dwelled at Saint-Denis		pilgrims/pilgrimage; commerce; sex; infidelity	— couplets — aa	Geoffrey Chaucer, the Shipman’s Tale of the Canterbury Tales — 434 lines in couplets.		Geoffrey Chaucer		Shipman’s Tale; Canterbury Tales		Text
