Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 13	A blessed Jesu how fortuned this	A song of the approach of death — four 7-line stanzas with refrain, ‘Sicut domino placuit ita factum est’			Christ; death, approach of	— seven-line — aabbccc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 79
DIMEV 14	A blissful life a peaceable and a sweet	Chaucer, The Former Age [Aetas Prima] — eight 8-line stanzas	 The Former Age; Aetas Prima	Geoffrey Chaucer	Boethius, influence on; Golden Age	— eight-line — ababbcbc	Cf. Pace (1961) XPace, George B. “The True Text of ‘The Former Age.’” Mediaeval Studies 23 (1961): 363-7.
DIMEV 15	A bobbid a bobbid a biliried	A tag used in game: Blindman’s Buff or Hot Cockles			games; children’s rhymes; sermons, verse in		
DIMEV 16	A body tender of complexion	Verses in the Latin sermon ‘Quare rubrum est iudumentum tuum’ — six lines			sermons, verse in; crucifixion	— six-line — ababcc	
DIMEV 17	A brief conclusion declare I shall	‘Count Ugolino of Pisa’ — 254 lines in quatrains	 ‘Count Ugolino of Pisa’		legends	— four-line — abab	
DIMEV 18	A broken contrite heart O Lord shalt Thou not dispise	Fragmentary beginning of a prayer, paraphrasing scripture			prayers; scripture texts, paraphrases; fragments; repentance	— two-line — ab	
DIMEV 19	A celuy que pluys eyme en mounde	De amico ad amicam and Responcio — twenty-one 6-line stanzas, in alternate French, English, and Latin lines			lovers, addresses to beloved; dialogues, lovers’	— six-line — aabccb	Formerly two separate entries, 16 and 19.
DIMEV 20	A child is born amongst man	A Christmas carol — three stanzas with a 4-line burden: ‘Honnd by honnd we schulle ous take / & joye & blisse schulle we make / For the deuel of ele man haght forsake / & godes sone ys maked our make’			carols, Nativity	— four-line, six-line — aaaa, aabaab	
DIMEV 21	A child is born I-wis / That all this world shall bless	A Christmas carol — six quatrains (aaab) including refrain, ‘for Ihesu ys hys name’, plus burden: ‘Lollay lay lay lay / my dere modyr lullay / Lullay my chyld’			carols, Nativity; Virgin Mary, lullay songs of	— four-line, three-line — aaab, aab	For an alternate version, see 4260.
DIMEV 22	A child is born of a maid	A Christmas carol by Richard Smert — two quatrains (abab) and four-line burden: ‘Nascitur ex virgine / sine viri semine’ (repeated)		Richard Smert	carols, Nativity	— four-line — abab, aaaa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 3.
DIMEV 23	A Christian priest was called Carpus	The story of Carpus in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Carpus, story of; exempla	— two-line — aa	
DIMEV 24	A-comen good and windy winter a dry summer	Prognostications based on the dominical letter — in couplets			prognostications; weather	— two-line — aa	Cf. 3122
DIMEV 25	A countenance of travail without resting Custodi solicite	Three benefits of a pure soul(?), in a Latin sermon — three monorhyming lines interspersed with Latin warnings			sermons, verse in	— three-line — aaa	
DIMEV 26	A cross was made all of red / In the beginning of my book	The Translator’s Prologue to Trevisa’s version of Glanville’s De Proprietatibus Rerum — six cross-rhymed quatrains.	 De Proprietatibus Rerum (Glanville)	John Trevisa	prologues; Glanville, De Proprietatibus Rerum, prologue to	— four-line — abab	Compare the three lines in Cambridge UK, Trinity College O.3.12 (1184), extra flyleaf. For Prohemium, see 1206; for Envoy, see 6837. Singer (1928) XSinger, Dorothea Waley. Catalogue of Latin and Vernacular Alchemical Manuscripts. 3 vols. Brussels: Lamertin, 1928-31, 1059.
DIMEV 27	A cruel death contrarious to creatures in kind	A personal elegy on a young gentlewoman — seven stanzas rhyme royal			elegies; women, praise of	— seven-line — ababbcc	
DIMEV 28	A Danger here I-cast to thee my glove	Love’s Tournament, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 97) — three 15-line stanzas and 8-line Envoy	 Love’s Tournament	Charles d’Orléans	love lyrics; tournaments; envoys	— fifteen-line — ababbccddeefgfg	
DIMEV 29	A dear God have I deserved this / This dear destiny to dread	To his mistress — seven 8-line stanzas with refrain: ‘That ons was leffe lette neuer be lothe’			lovers, addresses to beloved; complaints, lovers’	— eight-line	The refrain appears as a proverb in Rylands Lat. 394, f. 3v, pr. Pantin (1930) XPantin, William A. “A Medieval Collection of Latin and English Proverbs…from Rylands Latin MS. 394.” Bulletin of the John Rylands Library 14 (1930): 81-114 (at p. 94)
DIMEV 30	A dear God what may this be / That all thing wears	On the Death of Edward III — fourteen 8-line stanzas with refrain: ‘Selden seiȝe and sone forȝete’			Edward III, death of; elegies	— eight-line — ababbcbc	
DIMEV 31	A deer broken	List of terms of venery — varying number of lines in rough couplets			hunting	— two-line — irregular	
DIMEV 32	A Doomsday we shall I-see	A song on Doomsday — four quatrains and burden: ‘Hay hay take goode hede wat you say’			Doomsday, songs of; carols, of Doomsday	— four-line	
DIMEV 33	A dragon with a red rose that is of great fame	An English prophecy, with Latin interpolations, including ‘Cast of the Dice’ (cf. 6412) — 85 lines in cross-rhymed quatrains			prophecies; games	— four-line — abab	
DIMEV 34	A faithful friend would I fain find	‘Gramercy myn own purse’ — five 8-line stanzas	 ‘Gramercy myn own purse’		purse poems	— eight-line — ababbcbc	Cf. 2496 and 6327; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 11.5.
DIMEV 35	A false beginning	Cupiditas est — three lines			greed; advice, moral	— three-line — aaa	
DIMEV 36	A false behighting	Phrases describing three evils, in a sermon — three monorhyming lines			sermons, verse in	— three-line — aaa	
DIMEV 37	A fasting belly	A proverbial saying about hunger — one couplet			proverbs	— two-line — aa	Cf. Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950 B. 303; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 9.
DIMEV 38	A feigning of righteous living	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 39	A ferly thing it is to mean	A Christmas carol — six 10-line stanzas with wheel rhyme, and burden: ‘Aye aye this is the day / That we shall worshep euer and eye’			carols, Nativity	— ten-line, two-line — ababcccddd	
DIMEV 40	A filth that God almighty hateth	On sin — two couplets in John Grimestone’s sermon notebook		John Grimestone	sin	— two-line — aa	
DIMEV 41	A flower is sprungen that shall never fail	Song at the Nativity: poem occurring in only this MS of the English translation of the Pèlerinage de l’âme — five stanzas rhyme royal	 Pèlerinage de l’âme		Nativity	— seven-line — ababbcc	
DIMEV 42	A fools bolt / Is soon I-shotten	A proverbial couplet			proverbs	— two-line — aa	Cf. 714, line 421; 2800, st. 7; cf. also Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, F. 515; Meech (1940) XMeech, Sanford Brown. “A Collection of Proverbs in Rawlinson MS D 328.” Modern Philology 38 (1940-41): 113-32, 130.
DIMEV 43	A for Alyn Mallson that was armed in a mat	A ‘Crosse Rowe’ poem ribald in character — 46 lines in long couplets.			ribaldry	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 10
DIMEV 44	A for Gods will / What mean ye sirs to stand so still	Henry Medwall, Fulgens & Lucrece (c. A.D. 1497) — in mixed stanzas of five-, six- and eight-line stanzas	 Fulgens et Lucrece	Henry Medwall	legends	— five-line, six-line, eight-line — aabab, aabccb, aaabcccb	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 414.5
DIMEV 45	A forward knave plainly to describe	John Lydgate, ‘A Satyrical Ballad against Jack Hare’ — ten 8-line stanzas with refrain: ‘Whiche of a bolle can pluk out the lyneng’	 ‘A Satyrical Ballad against Jack Hare’	John Lydgate	ballads; satire; envoys	— eight-line — ababbcbc	Cf. 6601.
DIMEV 46	A fox gan out of the wood go	Of the Vox and of the Wolf — 295 lines in couplets	 Of the Vox and of the Wolf		fables	— two-line — aa	
DIMEV 47	A friar an hayward            a fox and a fulmar sitting on a row	Nonsense verses — one long couplet			nonsense verse	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 11.
DIMEV 48	A ghostly knitting	A verse tag in a collection of sermons by John Waldeby — one quatrain		John Waldeby	sermons, verse in	— four-line — aaab	
DIMEV 49	A ghostly substance in making	Characteristics of the Holy Ghost, in a Latin sermon — three monorhyming lines			sermons, verse in; Holy Ghost	— three-line — aaa	
DIMEV 50	A girdle of guile	The refrain of a dance-song, quoted in a sermon — three lines			sermons, verse in	— three-line — aab	
DIMEV 51	A God and yet a man	The mystery of the Incarnation — three cross-rhymed quatrains			Incarnation	— four-line — abab	
DIMEV 52	A golden bee            in a sows wroot	On erring women — one couplet			women, erring	— two-line — aa	
DIMEV 53	A good beginning / Maketh a good ending	A proverbial couplet			proverbs	— two-line — aa	Cf. 3383; 6467; Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950 B 259; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 12.
DIMEV 54	A good man there was and a clean / A clerk men callen John	The story of Barlaam and Josaphat — in couplets	 Barlaam and Josaphat		debates; legends	— two-line — aa	For other versions, see 58 and 2965. See also 601, 2655.
DIMEV 55	A good scholar if thou wilt be	A proverbial couplet			proverbs	— two-line — aa	Followed by 54 other proverbs, some in couplets, many single-lined; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 13.
DIMEV 56	A good tale hereby lies / Of a woman that hight Thais	Thais, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Thais, saint, life of	— two-line — aa	For other MSS see 4975.
DIMEV 57	A good wife and a fair	A proverbial couplet from Salomon and Marcolphus			proverbs; women, praise of; debates	— two-line — aa	
DIMEV 58	A great clerk Damascene great writ / How Saint Barlaam	Barlaam and Josaphat — from the Northern Homily Cycle	 Barlaam and Josaphat ; Northern Homily Cycle		debates; legends	— two-line — aa	For other versions see 54 and 2965.
DIMEV 59	A great lord in a land gan wone	Story of the Wise Son, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Wise Son, story of	— two-line — aa	
DIMEV 60	A great prince may have no more vice	Advice to princes to avoid avarice and seek to win the love and regard of their men, as epilogue at conclusion of a prose account of the death of James Stewart (James I), King of Scotland, 1406-1437, either John Shirley’s translation from the Latin of The Moste Pitevous Cronicle of th’ Orribill Dethe of the Kyng of Scottes or John de Meun’s translation from Latin into French — four couplets	 The Moste Pitevous Cronicle of th’ Orribill Dethe of the Kyng of Scottes	John Shirley	epilogues; princes, advice to; advice, to princes; greed; James I, king of Scotland, 1406-1437	— two-line — aa	
DIMEV 61	A hart harboreth	A list of proper terms			lodging, terms of	— two-line — aa	
DIMEV 62	A hende knight hight Placidas / But a heathen man	Legend of St. Eustace, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Eustace, saint, legend of; legends	— two-line — aa	For a variant text see 5594.
DIMEV 63	A holy confessor thou were one	John Audelay, An Orison to St Francis — thirteen quatrains (aaab) and burden: ‘Saynt frances to þe I say / Saue þi breder boþ nyȝt & day’		John Audelay	Francis of Assisi, saint, prayer to; saints, prayers to	— four-line, two-line — aaab, aa	
DIMEV 64	A holy man beyond the sea / Was bishop of a great city	The Knight who did penance among worms, in the Northern Homily Cycle			penance; two-line		Northern Homily Cycle — in couplets
DIMEV 65	A holy man stood on a day	A Man in the Devil’s leash, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		exempla	— two-line — aa	
DIMEV 66	A holy monk had great yearning / In his life to see tokening	The Monk who wished to see the least Joy in Paradise, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		tales, religious didactic	— two-line — aa	For another version see 4991.
DIMEV 67	A holy woman that hight Saint Bride	How St Bridget was instructed to worship the Passion — twelve couplets			Bridget, saint; Passion, worship of	— two-line — aa	
DIMEV 68	A Jake Juggler that juggles with a cake	A doggerel couplet			doggerel	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 14.
DIMEV 69	A Jesu Christ crown of maidens all	John Capgrave, Life of St Katherine — rhyme royal	 Life of St Katherine	John Capgrave	saints’ lives; Katherine of Alexandria, saint, life of	— seven-line — ababbcc	
DIMEV 70	A Jesu Christ that us is above [A Iesu Crist that ous is boue]	A prayer to Jesus that we may live in such a way as to come to heaven — five couplets			Christ; prayers, to Christ	— two-line — aa	
DIMEV 71	A Jesu so fair and free / Sweetest of all thing	A hymn of love to Jesus, vaguely based on the preceding Latin, O amor vehemens, Iesu dulcissime… — one 8-line stanza			Christ; love, toward Jesus	— eight-line — abababab	
DIMEV 72	A Jesu Thou shed Thy blood / For dred of thine thou wist sold be	Hours of the Cross — eighteen 8-line stanzas			Cross, hours of	— eight-line — abababab	
DIMEV 73	A Jesu thy sweetness who might it see	William Meniman, a prayer to Jesus — four quatrains		William Meniman	prayers, to Jesus	— four-line — abab	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988 TP 79.
DIMEV 74	A Jews child in Buterie while by old daw	The little Jew, a miracle of the Virgin, in the South English Legendary — in couplets	 South English Legendary		Virgin Mary, miracles of; miracles	— two-line — aa	
DIMEV 75	A kindly likeliness that is worhipful and glorious	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 76	A king governing in kindly goodliness	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 77	A king out of the North shall come	‘Marlin’s prophecy’ — forty-nine lines in couplets			Merlin; prophesies	— two-line — aa	
DIMEV 78	A king sometime in country was	Story of the Feast of the Exaltation of the Cross			Cross, feast of the Exaltation of		
DIMEV 79	A king there was sometime and eke a queen	‘The Thre Priests of Peblis’ — in couplets	 ‘The Thre Priests of Peblis’		tales, religious didactic	— two-line — aa	
DIMEV 80	A kings son and an emperor	‘Proface’, a Christmas carol — four stanzas (aaab) with ‘Proface’ refrain and five-line burden: ‘Proface, welcom, wellcome / This day ys borne a chylde of grace / That for vs mankynde hathe take proface / This day is born a child of grace / That for vs mankynde hathe take proface’			carols, Nativity	— four-line, five-line — aaab, abbbb	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 15.
DIMEV 81	A knight that is hardy as a lion	John Lydgate, eight stanzas expounding refrain: ‘None of all these I doo yow well assure / Off kyndely ryght may no while endure’ — eight stanzas rhyme royal		John Lydgate	mutability; transitoriness, of world	— seven-line — ababbcc	For a variant text see 5778.
DIMEV 82	A knight there was by old daw lither man enow	The Devil in Service, a miracle of the Virgin, in the South English Legendary — in couplets	 South English Legendary		Virgin Mary, miracles of; miracles	— two-line — aa	
DIMEV 83	A knight there was in England by north here beside	The Oxford Scholar, a miracle of the Virgin, in the South English Legendary — in couplets	 South English Legendary		Virgin Mary, miracles of; miracles; miracles	— two-line — aa	
DIMEV 84	A knight there was in land while great man withall and wise	Saved by learning Two Words, a miracle of the Virgin, in the South English Legendary — in couplets	 South English Legendary		Virgin Mary, miracles of; miracles	— two-line — aa	
DIMEV 85	A knight was while a rich man that honoured much mid all	A miracle of Our Lady, the Virgin Mary comes to Devil instead of Victim, in the South English Legendary — in couplets	 South English Legendary		Virgin Mary, miracles of; miracles	— two-line — aa	Cf. 2758, 3913.
DIMEV 86	A lady had my love let the bull begin to bellow	Nonsense verses addressed to lovers — two stanzas with refrain, ‘With a m an a I þe bolle get in þe corne / but mi leman loue well as ryt as ramis orn’.			nonsense verse; ribaldry	— irregular	
DIMEV 87	A lady bright fair and gay	A song on jealousy — 8 lines			love lyrics; songs	— eight-line — aaa + bcccc	
DIMEV 88	A lady that was so fair and bright	A macaronic song in honour of the Virgin Mary — seven quatrains			Virgin Mary, songs in honour of	— four-line — abab	For a thirteenth-century version see 4198.
DIMEV 89	A ladys heart for to want pity	A roundel (associated with Charles d’Orléans) — 21 lines		Charles d’Orléans	love lyrics; roundels	— twenty-one-line — abbbaaababbaababaabba	
DIMEV 90	A lesson of lowness	Verses in a Latin sermon — three short rhyming phrases			sermons, verse in; advice, moral; aphorisms	— three-line — aaa	
DIMEV 91	A lesson of mercy and forgiveness	Verses about lessons to be learned to withstand sin, in a Latin sermon — two couplets			sermons, verse in; advice, moral; sin; mercy	— two-line — aa	
DIMEV 92	A lion rampant with his paw	Verses in a collection of friar sermons — two couplets			sermons, verse in; aphorisms	— two-line — aa	
DIMEV 93	A little child there is I-bore / I-sprung out of Jesses more	A Christmas carol — five quatrains, aaab, including refrain, ‘Gloria tibi Domine’, and burden (bb): ‘Gloria tibi Domine / qui es natus de virgine’			Christmas carol	— four-line, two-line — aaab, aa	For a variant see 5740.
DIMEV 94	A little in the morning nothing at noon	A proverb — one couplet			proverbs	— two-line — aa	See 6015; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 21
DIMEV 95	A little tale I will you tell / I trow it will like you well	The Huntyng of the Hare — in 6-line stanzas			hunting	— six-line — aabccb	
DIMEV 96	A little tale I will you tell	Strife in the house! a carol — fourteen quatrains (aaab) including refrain, ‘At þe townys end’ plus burden (cc): ‘Alas sayd þe gudman thi ys an hevy lyff / And all ys well þat endyth well said þe gud wyff’			domestic life; carols, secular	— four-line — aaab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 22.
DIMEV 97	A lo mine heart what told I thee	A roundel — 14 lines		Charles d’Orléans	love lyrics; roundels	— fourteen-line — abbaabababbaab	
DIMEV 98	A Lord Christ of heaven bliss thou art king	A prayer to Christ — two couplets			Christ, prayers to; prayers to Christ; confession, form of	— two-line — aa	
DIMEV 99	A lord god mercy qui verba cuncta creasti	Prayer to God for mercy — one macaronic couplet			prayers, to God; God, prayers to; mercy, plea for	— two-line — aa	
DIMEV 100	A Lord God of mights most / Father and Son and Holy Ghost	William of Nassington, Tractatus de Trinitate et Vnitate — in couplets	 Tractatus de Trinitate et Vnitate	William of Nassington	Trinity, treatise on	— two-line — aa	
DIMEV 101	A lord king of might that leaven wouldst thy might	Irregular rhyming lines in Rolle’s Meditations on the Passion (Text A only) — ten and four lines	 Meditations on the Passion	Richard Rolle	Passion, meditations on	— irregular, two-line — aa	
DIMEV 102	A lords purpose and a ladys thought	Proverbial couplet on the changeability of lord’s purpose and woman’s thought — one couplet			mutability	— two-line — aa	
DIMEV 103	A loss of heal and liking / A body dressed to dying	Verses in a Latin sermon — three short rhyming lines			sermons, verse in	— three-line — aaa	
DIMEV 104	A maid Christ me bid yerne	Thomas de Hales, ‘A Luue ron’ — twenty-six stanzas abababab	 ‘A Luue ron’	Thomas de Hales O.F.M.	love, toward Jesus; love, divine and human	— eight-line — abababab	
DIMEV 105	A maid peerless	In praise of the Virgin Mother — three 6-line stanzas (aabccb) with burden (dd): ‘She may be callyd a souerant lady / That ys A mayd and beryth a baby’			Virgin Mary, songs in honour of; songs	— six-line — aabccb	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 26.
DIMEV 106	A maiden mild hath born a child	James Ryman, A Christmas carol — seven quatrains (abab) plus four-line burden (bbbb): ‘Bothe man & chielde haue myende of þis / How god is sonne of blis / Of Marie myelde man becomme is / To deye for mannys mys’		James Ryman	carols, Nativity	— four-line — abab, bbbb	
DIMEV 107	A man is a mirrour of sorrow and woe	The ephemeral nature of man — two couplets			human life, transitory nature of; transitoriness, of life	— two-line — aa	Cf. 1825.
DIMEV 108	A man may awhile	‘War before’ — one 7-line stanza	 ‘War before’		warnings; advice, moral	— seven-line — aabbbbb	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 25.
DIMEV 109	A man of great devotion / Was some time in Religion	A miracle of Our Lady, the Virgin Mary gives her milk to a monk — forty couplets			Virgin Mary, miracles of	— two-line — aa	
DIMEV 110	A man that hath a wart above his shin	A proverb — one couplet			proverbs	— two-line — aa	
DIMEV 111	A man that hath little to doon	Generides (Version A) — 10086 lines in couplets	 Generides		romances	— two-line — aa	For a version in 7-line stanzas and early prints, see 2557.
DIMEV 112	A man that loveth fishing and fowling both	Piers of Fulham’s ‘many praty conceytis in love vnder covert termes off fysshyng and ffowlyng’ — in couplets		Piers of Fulham	lovers, advice to; hunting; allegorical poems	— two-line — aa	
DIMEV 113	A man that should of truth tell	Truth is unpopular: a carol — six quatrains and burden: ‘God be wit trewthe qwer he be / I wolde he were in this cuntre’			carols; social comment	— four-line, two-line — aaab, aa	
DIMEV 114	A man that will of wisdom lere / Harken to the book of prophecies here	Prognostics for the year, according to the day on which New Year falls, with a Prologue of twenty-two lines.			prognostications; weather	— two-line — aa	For MSS without the Prologue see 5125; for others with a 16-line Prologue see 6829.
DIMEV 115	A man there was in Israel while by daw	The Conception of Mary, in one MS of the South English Legendary — in couplets	 South English Legendary		Virgin Mary, Conception of; Joachim and Anna, parents of the Virgin Mary	— two-line — aa	
DIMEV 116	A man was of the Pharisees / That prince was holden of the Jews	Gospel for Trinity Sunday in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	For other texts see 3716 and 4629.
DIMEV 117	A man was the first guilt	A Christmas carol — four quatrains and burden: ‘All þat leue in Christen lay / Worschup euery Cristmes day’			carols, Nativity	— four-line, two-line — aaab, aa	
DIMEV 118	A man without mercy mercy shall miss	On mercy — one couplet			virtues; mercy; aphorisms	— two-line — aa	Cf. 712, 1369, and 1845; Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, M 895; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 28.
DIMEV 119	A marvelous thing I have mused in my mind	A carol of the Incarnation — three quatrains (abab) and burden: ‘Mirabilem misterium / The Son of God ys man becum’			Incarnation; carols	— four-line, two-line — abab, aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 29.
DIMEV 120	A merchant whilom dwelled at Saint-Denis	Geoffrey Chaucer, the Shipman’s Tale of the Canterbury Tales — 434 lines in couplets.	 Shipman’s Tale; Canterbury Tales	Geoffrey Chaucer	pilgrims/pilgrimage; commerce; sex; infidelity	— couplets — aa	
DIMEV 121	A mercy fortune have pity on me	A complaint against Fortune — three stanzas rhyme royal with 2-line refrain			Fortune, complaint against; complaints	— seven-line — ababbcc	
DIMEV 122	A mery tale y telle yow may	The Assumption of Our Lady (earliest version) — in couplets, with a Prologue of ten lines	 The Assumption of Our Lady		Virgin Mary, assumption of; legends, of Jesus and Mary	— two-line — aa	Formerly 2165. For the Cursor Mundi ‘Assumption’, which is directly based on this text, but lacks the Prologue, see 6363; for other versions see 549, 1767, 3523, 4190, 4703.
