"GROUP_ID"	"Book"	"QUOTE_TRANSCRIPTION"	"start"	"end"	"Date (earliest)"	"Date (display)"	"Date (latest)"	"LIST"	"PERSON"	"Uncertain Book"	"Uncertain date"	"Agent (by hand of)"	"Uncertain Person"	"Partial"
"0c55a59d-f78b-4359-a7ed-3c5bc8269825"	"Claudius DII"	"Spelman, 1617 (99.1: this or Tit. AXXVII)"	"1668"	"1710"	"1617"	"1617"	"1617"	"99.1"	"Henry Spelman"	"Claudius DII | Titus AXXVII"	""	""	""	""
"0cf7b939-42a9-4c54-b1c7-df34dcf6b759"	"Vitellius DXV"	"William Camden"	"226"	"240"	"1606"	"1606"	"1606"	"10.9"	"William Camden"	""	""	""	""	""
"0ded971a-5e18-4efe-bd01-e2ee97554bee"	"Vitellius AIII"	"William Camden"	"513"	"527"	""	"1623"	"1623"	"143"	"William Camden"	"Vitellius AIII, Claud. A-VI, Otho A.XIV, CVIL, Vitellius D-XIII, E-VIII, Vespasian A.XIII | Dom. XII"	""	""	""	"fols 1-110, art. 1"
"0e167455-7605-4f3d-8214-fbccb7ada10b"	"Titus AII"	"Arthur Agarde"	"921"	"934"	"1612"	"1613"	"1615"	"(71.32"	"Arthur Agarde"	"Titus AII | Vespasian A.VI"	""	""	""	""
"0e423644-90a7-435f-9121-6b61d4d486e5"	"Vespasian FVI"	"‘Mr Beston’, unknown date (151: numerous articles in this + Calig. C.III + Galba EVI)."	"783"	"877"	"unknown date"	"unknown date"	"unknown date"	"151"	"Mr Beston"	""	""	""	""	""
"0ebfcee7-9857-4ac7-9015-807bcd9e7162"	"Cleopatra BIX"	"James Ussher, 1621 (2.6)"	"365"	"389"	"1621"	"1621"	"1621"	"2.6"	"James Ussher"	""	""	""	""	""
"0ec1dc24-8fe2-42e4-ba28-44a6ec06cf1f"	"Vitellius FIX"	"William Camden, 1606 (10.19)"	"979"	"1007"	"1606"	"1606"	"1606"	"10.19"	"William Camden"	""	""	""	""	""
"0ee73b0c-fac5-43b8-98c2-fb31df3ad3f3"	"Otho AI"	"William Watts, 1640 (206.1)."	"2248"	"2275"	"1640"	"1640"	"1640"	"206.1"	"William Watts"	""	""	""	""	""
"0ef055dc-3570-4985-af8e-d7e46bda173e"	"Faustina AIII"	"Agarde, 1612-15 (18.15, 71.6: (1) this or (2) Tit. AVIII)"	"627"	"695"	"1612"	"1613"	"1615"	"18.15, 71.6"	"Arthur Agarde"	"Faustina AIII |  Titus AVIII"	""	""	""	""
"0f299553-f6e9-482b-8e12-da118bc4c266"	"Titus BV"	"John Selden"	"383"	"394"	"1637"	"1638"	"1639"	"163.14"	"John Selden"	""	""	""	""	"fols 45-57v, art. 13"
"0fce01b8-e18a-41ef-9444-31b962ec7a5d"	"Caligula AXIII"	"Samuel Roper, senior, 1638 (171.1)"	"1181"	"1222"	"1638"	"1638"	"1638"	"171.1"	"Samuel Roper, senior"	""	""	""	""	""
"0fcf54cf-52d5-4725-b431-6c0a9012561f"	"Claudius DII"	"John Selden"	"1719"	"1729"	"1622"	"1622"	"1622"	"2.116"	"John Selden"	""	""	""	""	""
"102457fb-5937-40a8-94f6-865397c49a2b"	"Titus FIII"	"of fols 1-90y, art. 1"	"350"	"370"	""	"1637"	"1637"	"79.3"	"Henry Bourchier"	""	""	""	""	"of fols 1-90y, art. 1"
"103973cd-b0f4-47f7-8954-7f8b33b938e5"	"Titus EIV"	"John Selden, ¢.1638 (163.16)"	"164"	"191"	"1637"	"1638"	"1639"	"163.16"	"John Selden"	""	""	""	""	""
"1128360c-aaa6-46a6-9aef-cb3f4b20f4f5"	"Caligula DXI"	"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)"	"439"	"515"	"1621"	"1621"	"1621"	"2.86"	"John Selden"	""	""	""	""	""
"11430347-4ab5-47a4-b463-d5eff29f239c"	"Claudius DIX"	"Patrick Young"	"210"	"222"	"1615"	"1616"	"1617"	"134.6"	"Patrick Young"	"Claudius D.IX | Claudius E.V"	""	""	""	""
"121c5cdd-1e41-42f5-876f-77a777d546b2"	"Claudius AVI"	"St Lo Kniveton, 1615-16 (45.22)"	"348"	"387"	"1615"	"1615"	"1616"	"45.22"	"St Lo Kniveton"	""	""	""	""	""
"1262d25c-c6f3-40a9-84c8-f01d8abbddf7"	"Caligula EVI"	"(? distributed in Calig. EV and VI) Robert Cecil, through Thomas Wilson, c.1605~-12 (12.2)."	"317"	"421"	"1605"	"1608"	"1612"	"12.2"	"Robert Cecil"	""	""	"Thomas Wilson"	""	""
"126a4e15-e10c-4af5-9813-4be3571bab48"	"Vitellius CXVI"	"Thomas Howard, 1621 (2.79: this or Vit. C_XI"	"1002"	"1088"	"1621"	"1621"	"1621"	"(2.79"	"Thomas Howard"	"Vitellius CXVI | Vitellius C_XI; cf. Julius CII, f. 208"	""	""	""	""
"129f0e2c-682d-459e-bff3-861cc7a05ae8"	"Tiberius CXIII"	"Nicolas-Claude Fabri de Peirese"	"1318"	"1348"	"1618"	"1618"	"1618"	"Smith, Camden's Correspondence, p. 261"	"Nicolas-Claude Fabri de Peirese"	""	""	""	""	""
"12ab299a-5322-45c5-a988-795db92f0dbd"	"Nero DI"	"Selden, 1638 (155.4: (1) this or (2) Claud. E.IV)"	"556"	"616"	"1638"	"1638"	"1638"	"155.4"	"John Selden"	"Nero DI |  Claud. E.IV"	""	""	""	""
"12b525b9-a259-4506-b30d-eb66589c06af"	"Vespasian AXVIII"	"John Everard"	"628"	"639"	"1626"	"1626"	"1626"	"Jul. CII, fol. 172"	"John Everard"	""	""	""	""	""
"1304f308-112a-42a4-ba51-435c4a00ef8b"	"Vespasian BXXV"	"William Camden, 1606 (10.11: this, Vesp. A.II or Dom. I. Cf. Jul. C.II, fol. 65)."	"937"	"1038"	"1606"	"1606"	"1606"	"10.11"	"William Camden"	"Vespasian BXXV | Vespasian A.II | Dom. I. | Julius C.II"	""	""	""	""
"132c3f83-55b0-483f-a0b4-11cf46a44fee"	"Claudius DI"	"William Camden, after Christmas 1604 (129.1: (2) this, Jul. D.II1, Tib. E:VI or Otho D.III, or (1) Nero D.1)"	"188"	"303"	"1604"	"1604"	""	"129.1"	"William Camden"	"Claudius DI, Julius D.II1, Tiberius E:VI | Otho D.III, |  Nero D.1"	""	""	""	""
"137389be-34c0-4431-996a-b74466588940"	"Vitellius FIX"	"John Selden"	"1107"	"1117"	"1641"	"1641"	"1641"	"223.2"	"John Selden"	"Vitellius FIX | Vitellius FXII"	""	""	""	""
"1392b14d-f92e-4a3e-8000-f929fbdcc90e"	"Vitellius AXIII"	"(of fols 20-82, art. 5) Agarde, 1612-15 (18.16, 71.7)"	"937"	"996"	"1612"	"1613"	"1615"	"18.16, 71.7"	"Arthur Agarde"	""	""	""	""	"of fols 20-82, art. 5"
"13ce4031-7a98-4e6e-90db-59361f1a64cd"	"Tiberius CV"	"Selden, c.1638 (163.18)"	"1104"	"1143"	"1637"	"1638"	"1639"	"163.18"	"John Selden"	""	""	""	""	""
"13f0fb1b-7bf4-431d-bdee-7b262224bac6"	"Cleopatra EI"	"(? of fols 183-87, art. 41, of this or ? Cleo. B.XII) Henry Howard, ¢.1612 (21.6)"	"1356"	"1445"	"1611"	"1612"	"1613"	"(21.6"	"Henry Howard"	"Cleopatra EI |  Cleopatra B.XII"	""	""	""	"? of fols 183-87, art. 41, of this or ? Cleo. B.XII"
"14116c6d-4dab-4dfc-971f-060479a8470d"	"Julius FVI"	"Thomas Wilson, 1617, 1621 (111.21, 2.101: ? fols 168v-69, art. 91, of this, and / or parts of Vit. C.XI, XVI, Vesp. F.V1)"	"605"	"730"	"1617"	"1619"	"1621"	"111.21, 2.101"	"Thomas Wilson"	""	""	""	""	"fols 168v-69, art. 91, of this, and / or parts of Vit. C.XI, XVI, Vesp. F.V1"
"159a9125-6b6f-4aad-b01d-ad1bf0ce813b"	"Julius CIX"	"Elias Ashmole"	"562"	"574"	"1660"	"1660"	"1660"	"262.1"	"Elias Ashmole"	"Julius CIX | Julius F.XT"	""	""	""	""
"16308db0-7fe5-48c9-b2b2-ddcc4556572a"	"Galba BVI"	"John Selden, 1621 (2.87: ? distributed in Galba B.I-XII)"	"208"	"272"	"1621"	"1621"	"1621"	"2.87"	""	""	""	""	""	""
"16be575e-4093-40ea-9fea-35cc001b323b"	"Cleopatra EII"	"Basil Brooke"	"354"	"365"	""	"1631"	"1631"	"113.27"	"Basil Brooke"	"Cleopatra EII, Cleopatra E.I, IIL, F.1 | ID)"	""	""	""	""
"16f89086-eb37-4400-97e7-0deaae9f2870"	"Julius FIII"	"Edward Coke, ¢.1612 (53.3: ? this, but see below)"	"270"	"320"	"1611"	"1612"	"1613"	"53.3"	"Edward Coke"	""	""	""	""	""
"1721d5a0-4e40-4891-8972-8373afd40420"	"Caligula CIII"	"Henry Howard, after Christmas 1604 (129.16: ? parts of this, Jul. F-VI, Calig. B,IV, C.I-II, and IX)"	"490"	"608"	"1604"	"1604"	""	""	"Henry Howard"	" parts of Caligula CIII, Julius F-VI, Caligula B,IV, C.I-II, and IX"	""	""	""	"? parts of this, Jul. F-VI, Calig. B,IV, C.I-II, and IX"
"173a51c5-b199-459f-af7d-32fbcd237526"	"Otho CI"	"Bowyer,"	"517"	"523"	"1616"	"1616"	"1616"	"14.4"	"Robert Bowyer"	""	""	""	""	""
"173c23f5-f691-4de7-bd28-431d428dc214"	"Titus BXI"	"(of part II, fols 49-50, art. 94) St Lo Kniveton, by 1615, by1617 (45.10, 111.30)"	"1359"	"1447"	""	"1617"	"1617"	"45.10, 111.30"	"St Lo Kniveton"	""	""	""	""	"of part II, fols 49-50, art. 94"
"17bdcf58-851e-4a85-94f2-3a22fac9ccb9"	"Vespasian AXXIV"	"John Lambe, ? by 1612 (26.2: this, Otho A-XVII, Cleo. C.1, Il or Faust. B.IIT)"	"317"	"408"	""	"1612"	"1612"	"26.2"	"John Lambe"	"Vespasian AXXIV, Otho A-XVII, Cleopatra C.1, Il | Faust. B.IIT"	""	""	""	""
"17daf42a-24b3-420c-8dc6-74279d3a507b"	"Vitellius FIX"	"James Ussher"	"1074"	"1085"	"1610"	"1611"	"1612"	"41.6"	"James Ussher"	""	""	""	""	""
"17e071b3-2030-4ff8-b18c-2b4bc4ea68d7"	"Tiberius EVI"	"William Camden, after Christmas 1604 (129.1: (2) this, Jul. D.III, Claud. D.I or Otho D.III, or (1) Nero D.D)"	"407"	"530"	"1604"	"1604"	""	"129.1"	"William Camden"	"Tiberius EVI, Julius D.III, Claud. D.I | Otho D.III, |  Nero D.D"	""	""	""	""
"1820154c-8eff-4a31-9068-189ad605d8e2"	"Vespasian EXVII"	"Francis Crane, 1670 (270)"	"459"	"483"	"1670"	"1670"	"1670"	"270"	"Francis Crane"	""	""	""	""	""
"1849ee17-b51a-4b94-b617-680dfaf28da1"	"Otho EIX"	"of fols 334—5y, art. 128, etc.) Thomas Wilson, for Robert Cecil, ¢.1605-12 (12.6)"	"204"	"293"	"1605"	"1608"	"1612"	"12.6)"	"Thomas Wilson|Robert Cecil"	""	""	""	""	"(of fols 334—5y, art. 128, etc."
"184b439e-b8ed-4a52-8b2f-1c7a5e358ced"	"Vespasian BXX"	"Lord William Howard and Nicholas Roscarrock, 1607 or later to 1612-16 (20.2, 74.3)."	"284"	"375"	"1607"	"1611"	"1616"	"20.2, 74.3"	"Lord William Howard|Nicholas Roscarrock"	""	""	""	""	""
"18858b22-7d0c-468c-851f-45aee9b0cf5f"	"Vespasian BXXII"	"Daniel Dunn, by 1611 (55.2: (2) this or (1) Bodl., MS Tanner 212. The Tanner manuscript is folio and is bound in white vellum"	"154"	"325"	""	"1611"	"1611"	"55.2"	"Daniel Dunn"	"Vespasian BXXII |  Bodl., MS Tanner 212"	""	""	""	""
"18b101ec-1795-4b50-90b3-8d4b25dfe801"	"Caligula DXII"	"(of this + part of E.T1V) Edward Herbert, 1636 (117.3 and 119.7)."	"490"	"568"	"1636"	"1636"	"1636"	"117.3 and 119.7"	"Edward Herbert"	""	""	""	""	""
"18dcbd5a-ea49-4552-b590-5dd685b6f3d0"	"Caligula DIX"	"George Carew"	"546"	"558"	"1604"	"1604"	""	"129.14"	"George Carew"	""	""	""	""	"? parts of this: Cotton has noted fol. 96, art. 15, fol. 106, art. 17, as relating to the captivity of Francis I of France"
"190c36ae-b549-44b7-8a06-802db74e4548"	"Titus CI"	"Thomas Howard"	"1274"	"1298"	"1621"	"1625"	"1629"	"76.7"	"Thomas Howard"	""	""	""	""	""
"1970b051-2732-4229-b7ae-73c2f61a5ae1"	"Cleopatra AXVI"	"Richard Bancroft"	"818"	"834"	"1608"	"1608"	"1608"	"29.3"	"Richard Bancroft|John Pory"	"Cleopatra AXVI | Galba A.I"	""	""	""	""
"19d241df-e2e1-4ae8-91dd-fcf3be946d59"	"Galba DVI"	"Bulstrode Whitelocke"	"381"	"400"	"1652"	"1652"	"1652"	"231.33"	"Bulstrode Whitelocke"	"2) Galba DVI, |  Galba D.IV | V"	""	""	""	""
"1ac08d17-4563-4f3b-ba93-e0d8e3d6be81"	"Titus AI"	"Arthur Agarde"	"549"	"561"	""	"1599"	"1599"	"Watson, ‘Cope’, 297, no. 30"	"Arthur Agarde"	""	""	""	""	""
"1b207fe4-a94f-45e4-8b38-b7e2c5dfb067"	"Nero DI"	"William Camden"	"253"	"266"	"1604"	"1604"	""	"129.1"	"William Camden"	"Nero DI, |  Julius D.III, Tiberius E.VI, Claud. D.I | Otho D.IID"	""	""	""	""
"1b927f5a-1990-407a-8e3a-5d6239226052"	"Julius BIV"	"Arthur Agarde"	"296"	"308"	"1612"	"1613"	"1615"	"18.7"	"Arthur Agarde"	""	""	""	""	""
"1bca84ca-f45c-4dee-99c3-1cd17e0513a2"	"Titus AI"	"Bancroft or George Abbot"	"922"	"946"	"1610"	"1611"	"1612"	"131.4"	"Richard Bancroft"	"Titus AI |  Dom. XV"	""	"Hart"	"?"	""
"1bd1c4ac-7111-44eb-b7bb-8a4a69d71347"	"Titus EXII"	"John Selden"	"182"	"193"	"1639"	"1640"	"1641"	"209.7"	"John Selden"	""	""	""	""	""
