,UUID,FILE,QUOTE_TRANSCRIPTION,start,end,TYPE,TAGS,COMMENTS,GROUP_ID
39,5fe32931-f2b7-40b7-b0a1-c5bd81e81298,Tite_entries_entry-428.0_nero-civ.txt,1625,363,366,,Date,,7dedd37c-15a1-4b3f-b013-903fd9c365b4
40,c6c7a4a5-2a77-4a87-be24-3dca31c3413a,Tite_entries_entry-429.0_nero-cv.txt,"William Camden, 1606 (10.10: fols 3-161, artt. 1-4,              only)",898,967,,Loan,,c6c7a4a5-2a77-4a87-be24-3dca31c3413a
41,2a15aad0-906a-4c6a-ab39-48c16509b1a2,Tite_entries_entry-429.0_nero-cv.txt,William Camden,898,911,PERSON,,,c6c7a4a5-2a77-4a87-be24-3dca31c3413a
42,99d798ce-5e66-43a8-b66d-351c7624cd9e,Tite_entries_entry-429.0_nero-cv.txt,1606,914,917,,Date,,c6c7a4a5-2a77-4a87-be24-3dca31c3413a
43,c52d0ab8-ff4d-476a-b594-79ea10c1f8a3,Tite_entries_entry-429.0_nero-cv.txt,10.10,920,924,,List Reference,,c6c7a4a5-2a77-4a87-be24-3dca31c3413a
44,5f48e067-5535-4f5e-ae56-50f28446a449,Tite_entries_entry-429.0_nero-cv.txt,"Richard Bancroft, 1607-10, by hand of Zachariah              Pasfeild (30.1);",970,1046,,Loan,,5f48e067-5535-4f5e-ae56-50f28446a449
45,32f3d60e-b34c-485e-9138-abe2f784e614,Tite_entries_entry-429.0_nero-cv.txt,Richard Bancroft,970,985,PERSON,,,5f48e067-5535-4f5e-ae56-50f28446a449
46,e3a0ed7e-2f36-4623-b427-ce63ec611bd5,Tite_entries_entry-429.0_nero-cv.txt,1607-10,988,994,,Date,,5f48e067-5535-4f5e-ae56-50f28446a449
47,f53fb269-f35f-4d71-a9e7-cdb52b61d47a,Tite_entries_entry-429.0_nero-cv.txt,Zachariah              Pasfeild,1008,1038,PERSON,Agent,,5f48e067-5535-4f5e-ae56-50f28446a449
48,13184750-0fba-4127-9d02-0d87acd954ac,Tite_entries_entry-429.0_nero-cv.txt,30.1,1041,1044,,List Reference,,5f48e067-5535-4f5e-ae56-50f28446a449
49,122e6f6b-a10d-42a6-a9ed-b360409f7d79,Tite_entries_entry-429.0_nero-cv.txt,Patrick Young,1048,1060,PERSON,,,d1b250d2-892a-4ea6-b650-652dfbf92012
50,d1b250d2-892a-4ea6-b650-652dfbf92012,Tite_entries_entry-429.0_nero-cv.txt,"Patrick Young, c.1616 (49.22, 134.4;",1048,1083,,Loan,,d1b250d2-892a-4ea6-b650-652dfbf92012
51,edd9dbc7-4452-4ee5-ad37-89e3241a558a,Tite_entries_entry-429.0_nero-cv.txt,c.1616,1063,1068,,Date,,d1b250d2-892a-4ea6-b650-652dfbf92012
52,20f387b7-f9de-42a4-a366-58b6e08f26dc,Tite_entries_entry-429.0_nero-cv.txt,"49.22, 134.4",1071,1082,,List Reference,,d1b250d2-892a-4ea6-b650-652dfbf92012
53,dbeb9f4e-e693-4fd0-b09b-cda9d7c7278f,Tite_entries_entry-429.0_nero-cv.txt,"‘my-lord of Armach’,              undoubtedly  James  Ussher, ¢.1629 (6018,  no. 210;",1465,1549,,Loan,,dbeb9f4e-e693-4fd0-b09b-cda9d7c7278f
54,baa1d779-702b-4db0-b2e1-1e7f5488959a,Tite_entries_entry-429.0_nero-cv.txt,James  Ussher,1512,1524,PERSON,,,dbeb9f4e-e693-4fd0-b09b-cda9d7c7278f
55,cf817795-b702-4e6d-8d6b-106d3dfa07c4,Tite_entries_entry-429.0_nero-cv.txt,¢.1629,1527,1532,,Date,,dbeb9f4e-e693-4fd0-b09b-cda9d7c7278f
56,89a3d413-1760-435e-9a93-2fe9157f4bb6,Tite_entries_entry-429.0_nero-cv.txt,"6018,  no. 210",1535,1548,,List Reference,,dbeb9f4e-e693-4fd0-b09b-cda9d7c7278f
57,149c05e5-2e79-43ed-b831-054cfc44939f,Tite_entries_entry-438.0_nero-cx.txt,Allington,1222,1230,PERSON,,George Allington,fcc7f425-d9cc-4994-88f5-c73f92339981
58,fcc7f425-d9cc-4994-88f5-c73f92339981,Tite_entries_entry-438.0_nero-cx.txt,"Allington, by  1611  (58.1,  60.3);",1222,1256,,Loan,,fcc7f425-d9cc-4994-88f5-c73f92339981
59,938ac94b-f8da-4b66-a3f0-2729d785df47,Tite_entries_entry-438.0_nero-cx.txt,by  1611,1233,1240,,Date,,fcc7f425-d9cc-4994-88f5-c73f92339981
60,97db8195-aa8e-4360-ad2f-9a98ede0486b,Tite_entries_entry-438.0_nero-cx.txt,"58.1,  60.3",1244,1254,,List Reference,,fcc7f425-d9cc-4994-88f5-c73f92339981
61,c13f8bad-23fb-43c8-9256-249fa370da1b,Tite_entries_entry-438.0_nero-cx.txt,"‘Mr   [?        Bartholomew]  Cotton of the Exchequer’, after 1621 and        probably not earlier than 1625 (80.1).",1258,1373,,Loan,,c13f8bad-23fb-43c8-9256-249fa370da1b
62,d26007be-05dd-4fa3-80a3-212458fdccec,Tite_entries_entry-438.0_nero-cx.txt,Mr   [?        Bartholomew]  Cotton of the Exchequer,1259,1310,PERSON,,,c13f8bad-23fb-43c8-9256-249fa370da1b
63,5b826ab5-f308-4a5c-bf37-6ce43e71a374,Tite_entries_entry-438.0_nero-cx.txt,after 1621 and        probably not earlier than 1625,1314,1365,,Date,,c13f8bad-23fb-43c8-9256-249fa370da1b
64,2b5aa21b-cea2-4e20-bb82-a3793faa8f8f,Tite_entries_entry-438.0_nero-cx.txt,(80.1,1367,1371,,List Reference,,c13f8bad-23fb-43c8-9256-249fa370da1b
65,6b80e2fc-fe7d-4f8e-9718-d5cae0254424,Tite_entries_entry-435.0_nero-cviii.txt,"‘Mr Attorney’, probably Edward Herbert, c.1638                 (161.1);",139,209,,Loan,,6b80e2fc-fe7d-4f8e-9718-d5cae0254424
66,03fe851c-cb23-40d5-bdf6-c941c4900938,Tite_entries_entry-435.0_nero-cviii.txt,Edward Herbert,163,176,PERSON,,,6b80e2fc-fe7d-4f8e-9718-d5cae0254424
67,a3180ead-4f94-4d7b-8b53-17ade0fd1599,Tite_entries_entry-435.0_nero-cviii.txt,c.1638,179,184,,Date,,6b80e2fc-fe7d-4f8e-9718-d5cae0254424
68,4c8cc2cd-aa95-4573-8655-e9256f17ef81,Tite_entries_entry-435.0_nero-cviii.txt,161.1,203,207,,List Reference,,6b80e2fc-fe7d-4f8e-9718-d5cae0254424
69,ae450d58-8712-4262-b043-bf45286b51ec,Tite_entries_entry-435.0_nero-cviii.txt,John Selden,211,221,PERSON,,,d635e669-8137-42f9-a978-c1ffc456fb46
70,d635e669-8137-42f9-a978-c1ffc456fb46,Tite_entries_entry-435.0_nero-cviii.txt,"John Selden, 1639 (179.1)",211,235,,Loan,,d635e669-8137-42f9-a978-c1ffc456fb46
71,9e4d9568-c9b6-4e3c-9875-0f2585f42a02,Tite_entries_entry-435.0_nero-cviii.txt,1639,224,227,,Date,,d635e669-8137-42f9-a978-c1ffc456fb46
72,cb6500df-0f72-4251-9f8a-f8a6d0847c0e,Tite_entries_entry-435.0_nero-cviii.txt,179.1,230,234,,List Reference,,d635e669-8137-42f9-a978-c1ffc456fb46
73,9ab103a6-45f8-44e0-96ef-7ffebb549a8e,Tite_entries_entry-423.0_nero-ci.txt,borrower not identified,1021,1043,PERSON,Uncertain Person,,312bbf44-7751-439a-9bc2-bdea17c4827b
74,312bbf44-7751-439a-9bc2-bdea17c4827b,Tite_entries_entry-423.0_nero-ci.txt,"borrower not identified, 1640 (198.1; ? this).",1021,1066,,Loan|Uncertain Book,,312bbf44-7751-439a-9bc2-bdea17c4827b
75,b1a5e2d9-179f-4469-8e83-5dd1bd2732b8,Tite_entries_entry-423.0_nero-ci.txt,1640,1046,1049,,Date,,312bbf44-7751-439a-9bc2-bdea17c4827b
76,13743e90-59e0-4982-80c0-5d90d2e9da9a,Tite_entries_entry-423.0_nero-ci.txt,198.1,1052,1056,,List Reference,,312bbf44-7751-439a-9bc2-bdea17c4827b
77,13d498d7-83fb-488f-9e10-a62f0e3d7d3b,Tite_entries_entry-661.0_otho-dviii.txt,Richard Bancroft,888,903,PERSON,,,05d5239e-bdad-4222-a577-ca7ac0bad854
78,05d5239e-bdad-4222-a577-ca7ac0bad854,Tite_entries_entry-661.0_otho-dviii.txt,"Richard Bancroft, 1607-10, by hand of Zachariah           Pasfeild (30.3);",888,961,,Loan,,05d5239e-bdad-4222-a577-ca7ac0bad854
79,0d1041f4-2317-4d74-b718-f83e1b8b1e96,Tite_entries_entry-661.0_otho-dviii.txt,1607-10,906,912,,Date,,05d5239e-bdad-4222-a577-ca7ac0bad854
80,22fb5a8c-d223-4321-82a8-ad6fc0248bc3,Tite_entries_entry-661.0_otho-dviii.txt,Zachariah           Pasfeild,926,953,PERSON,Agent,,05d5239e-bdad-4222-a577-ca7ac0bad854
81,129caaf1-ee2c-48e8-8b4c-c261a053a9a4,Tite_entries_entry-661.0_otho-dviii.txt,30.3,956,959,,List Reference,,05d5239e-bdad-4222-a577-ca7ac0bad854
82,fc66e707-3ca3-428e-93ed-91b2faeb4bdb,Tite_entries_entry-661.0_otho-dviii.txt,John Speed,963,972,PERSON,,,dbed2272-9033-4ab3-a12c-463a24c74520
83,dbed2272-9033-4ab3-a12c-463a24c74520,Tite_entries_entry-661.0_otho-dviii.txt,"John Speed, c.1612 (50.4: this or Nero D.X).",963,1006,,Loan,,dbed2272-9033-4ab3-a12c-463a24c74520
84,3689c442-3de3-4280-a468-07281382c046,Tite_entries_entry-661.0_otho-dviii.txt,c.1612,975,980,,Date,,dbed2272-9033-4ab3-a12c-463a24c74520
85,dda9e38b-3bd4-424f-a9a8-484bb7cf8d4e,Tite_entries_entry-661.0_otho-dviii.txt,50.4,983,986,,List Reference,,dbed2272-9033-4ab3-a12c-463a24c74520
86,2039f0ed-e136-4584-8b3e-555211d39b8a,Tite_entries_entry-661.0_otho-dviii.txt,this or Nero D.X,989,1004,,Uncertain Book,,dbed2272-9033-4ab3-a12c-463a24c74520
87,00841811-36e0-4dcd-9527-0a3704ba33c2,Tite_entries_entry-666.0_otho-dix.txt,"Lord William Howard  and  Nicholas Roscarrock,           1607 or later to 1612-16 (20.1, 74.4: this or Tib. E.I);",420,532,,Loan,,00841811-36e0-4dcd-9527-0a3704ba33c2
88,fa203703-312a-41ad-aa98-d983af58436e,Tite_entries_entry-666.0_otho-dix.txt,Lord William Howard,420,438,PERSON,,,00841811-36e0-4dcd-9527-0a3704ba33c2
89,88410102-3605-4e03-83aa-86c30f777944,Tite_entries_entry-666.0_otho-dix.txt,Nicholas Roscarrock,446,464,PERSON,,,00841811-36e0-4dcd-9527-0a3704ba33c2
90,0f3bdc2e-0835-484e-bc47-60cd5e893b4f,Tite_entries_entry-666.0_otho-dix.txt,1607 or later to 1612-16,477,500,,Date,,00841811-36e0-4dcd-9527-0a3704ba33c2
91,406c8095-3e78-4132-a2b6-308a33102e9b,Tite_entries_entry-666.0_otho-dix.txt,"20.1, 74.4",503,512,,List Reference,,00841811-36e0-4dcd-9527-0a3704ba33c2
92,859be29c-d039-4a34-aa17-03a5c105d8ef,Tite_entries_entry-666.0_otho-dix.txt,this or Tib. E.I,515,530,,Uncertain Book,,00841811-36e0-4dcd-9527-0a3704ba33c2
93,2daf8852-d898-492b-b1dc-e8a3f19ef61a,Tite_entries_entry-666.0_otho-dix.txt,John Laughton,546,558,PERSON,,,8a9026a3-b203-49ee-ae64-b36468557fde
94,8a9026a3-b203-49ee-ae64-b36468557fde,Tite_entries_entry-666.0_otho-dix.txt,"John Laughton, ? ¢.1634 (137.1).",546,577,,Loan,,8a9026a3-b203-49ee-ae64-b36468557fde
95,6c323c26-e026-4b7c-bae8-5bafcf4b158d,Tite_entries_entry-666.0_otho-dix.txt,? ¢.1634,561,568,,Date|Uncertain Date,,8a9026a3-b203-49ee-ae64-b36468557fde
96,4d06a6f5-9ab8-435e-b20b-271332d0b4ec,Tite_entries_entry-666.0_otho-dix.txt,137.1,571,575,,List Reference,,8a9026a3-b203-49ee-ae64-b36468557fde
97,527be3cd-d3b4-4e14-9cc2-48f7ce60f5e6,Tite_entries_entry-649.0_otho-di.txt,"‘Mr  Hall’, Henry  Fanshaw’s  servant,  1621-22       (2.105, 4.14)",504,570,,Loan,,527be3cd-d3b4-4e14-9cc2-48f7ce60f5e6
98,1e93d623-3a97-4aa6-8c88-2f6c97b79ceb,Tite_entries_entry-649.0_otho-di.txt,"‘Mr  Hall’, Henry  Fanshaw’s  servant",504,540,PERSON,,,527be3cd-d3b4-4e14-9cc2-48f7ce60f5e6
99,409d722e-38c8-4c6b-b2dd-7c43e8bc3938,Tite_entries_entry-649.0_otho-di.txt,1621-22,544,550,,Date,,527be3cd-d3b4-4e14-9cc2-48f7ce60f5e6
100,767906fe-a93a-49e3-9f06-918daf32e2e0,Tite_entries_entry-649.0_otho-di.txt,"2.105, 4.14",559,569,,List Reference,,527be3cd-d3b4-4e14-9cc2-48f7ce60f5e6
101,0b53401e-abeb-42e9-9114-e6d5280b9c48,Tite_entries_entry-658.0_otho-dvii.txt,"George Buc, 1616 (102.1: this, Claud. E.ITI or Vesp.        A.XXID",275,340,,Loan,,0b53401e-abeb-42e9-9114-e6d5280b9c48
102,84d86037-5bde-43ba-aa36-9b94db307a56,Tite_entries_entry-658.0_otho-dvii.txt,George Buc,275,284,PERSON,,,0b53401e-abeb-42e9-9114-e6d5280b9c48
103,0e70bb82-f1bb-4286-a0a4-119d1bb42f72,Tite_entries_entry-658.0_otho-dvii.txt,1616,287,290,,Date,,0b53401e-abeb-42e9-9114-e6d5280b9c48
104,40ac0acd-e304-4d19-afa4-0e0d3605b0d0,Tite_entries_entry-658.0_otho-dvii.txt,102.1,293,297,,List Reference,,0b53401e-abeb-42e9-9114-e6d5280b9c48
105,814033ee-7004-474e-ad0e-00012c929723,Tite_entries_entry-658.0_otho-dvii.txt,"this, Claud. E.ITI or Vesp.        A.XXID",300,340,,Uncertain Book,,0b53401e-abeb-42e9-9114-e6d5280b9c48
106,4c64f040-45da-46d8-9121-979d586e40ea,Tite_entries_entry-658.0_otho-dvii.txt,John Selden,344,354,PERSON,,,344789f1-f69a-47f0-85d4-49bf278c06a7
107,344789f1-f69a-47f0-85d4-49bf278c06a7,Tite_entries_entry-658.0_otho-dvii.txt,"John Selden, 1621 (2.96; see also annotation        to 6018, no. 306).",344,413,,Loan,,344789f1-f69a-47f0-85d4-49bf278c06a7
108,a3b6c293-f197-4ac4-a042-fa38830a91e8,Tite_entries_entry-658.0_otho-dvii.txt,1621,357,360,,Date,,344789f1-f69a-47f0-85d4-49bf278c06a7
109,8794dc6d-4d1d-4c35-91d6-e1852bcc6871,Tite_entries_entry-658.0_otho-dvii.txt,2.96,363,366,,List Reference,,344789f1-f69a-47f0-85d4-49bf278c06a7
110,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982,Tite_entries_entry-651.0_otho-diii.txt,"William Camden, after Christmas 1604 (129.1: (2)                   this, Jul. D.II, Tib. E.VI or Claud. D.1, or (1) Nero D.D;",308,432,,Loan,,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982
111,142a18bc-65d8-4e2e-aadd-17b09eeae806,Tite_entries_entry-651.0_otho-diii.txt,William Camden,308,321,PERSON,,,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982
112,6e905fef-1521-4c85-97db-1e10521d63dd,Tite_entries_entry-651.0_otho-diii.txt,after Christmas 1604,324,343,,Date,,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982
113,371551c9-dc2b-42f9-b40e-8bcdbba2fb27,Tite_entries_entry-651.0_otho-diii.txt,(129.1,345,350,,List Reference,,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982
114,4a94c089-c48b-4f96-a972-b65c5c390b2e,Tite_entries_entry-651.0_otho-diii.txt,"(2)                   this, Jul. D.II, Tib. E.VI or Claud. D.1, or (1) Nero D.D",353,431,,Uncertain Book,,85a83aa5-cf9d-4989-bcc0-d9d8c99ed982
115,a028a485-fc1b-4baf-b908-e00084920865,Tite_entries_entry-651.0_otho-diii.txt,"Arthur Agarde,",452,465,PERSON,,,06e5e32b-84b0-4617-a372-cd72009287fe
116,06e5e32b-84b0-4617-a372-cd72009287fe,Tite_entries_entry-651.0_otho-diii.txt,"Arthur Agarde, 1612-15 (18.9, 71.5: this or Tib. E.VI);",452,506,,Loan,,06e5e32b-84b0-4617-a372-cd72009287fe
117,f7cdbbb6-6953-42a7-b3e5-d6cd31d0a0b1,Tite_entries_entry-651.0_otho-diii.txt,1612-15,467,473,,Date,,06e5e32b-84b0-4617-a372-cd72009287fe
118,547843a1-93e1-463f-9775-cb4a0aa1ddf2,Tite_entries_entry-651.0_otho-diii.txt,"18.9, 71.5",476,485,,List Reference,,06e5e32b-84b0-4617-a372-cd72009287fe
119,ec2628e8-77f2-4f4d-8fff-8a50c8d7300a,Tite_entries_entry-651.0_otho-diii.txt,this or Tib. E.VI,488,504,,Uncertain Book,,06e5e32b-84b0-4617-a372-cd72009287fe
120,c12be8a2-fac9-4a98-b6dc-d7f567bbd8eb,Tite_entries_entry-651.0_otho-diii.txt,Lord William Howard,526,544,PERSON,,,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600
121,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600,Tite_entries_entry-651.0_otho-diii.txt,"Lord William Howard,  1616, by 1617 (110.1, 111.14: this                   or Tib. E.VI; but see further below).",526,637,,Loan,,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600
122,dcfb6a41-91e8-4efa-a958-c51e557606cc,Tite_entries_entry-651.0_otho-diii.txt,"1616, by 1617",548,560,,Date,,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600
123,ee0999c8-21d6-4a7f-bf93-e0a3a6234a1f,Tite_entries_entry-651.0_otho-diii.txt,"(110.1, 111.14",562,575,,List Reference,,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600
124,902ea8bb-e1f9-4584-a1fa-bd4c6defb4f9,Tite_entries_entry-651.0_otho-diii.txt,this                   or Tib. E.VI,578,612,,Uncertain Book,,98d6d76b-a2a7-41bb-a2b1-a8c40fa47600
125,d6237b00-326b-45f0-846c-8843198f98ff,Tite_entries_entry-720.0_vitellius-bi.txt,Peter Balle,871,881,PERSON,,,c1a1fabd-48b0-46bc-8b9f-338a1cddac8c
126,c1a1fabd-48b0-46bc-8b9f-338a1cddac8c,Tite_entries_entry-720.0_vitellius-bi.txt,"Peter Balle, 1640 (205.1: ‘. . .concerninge Religion       from  Hen. 6. downward.  marked  Vitellius B.T’, ? this,       but see below).",871,1007,,Loan,,c1a1fabd-48b0-46bc-8b9f-338a1cddac8c
127,99ab42c3-64d7-4f18-aa59-24efee849898,Tite_entries_entry-720.0_vitellius-bi.txt,1640,884,887,,Date,,c1a1fabd-48b0-46bc-8b9f-338a1cddac8c
128,11b79d0e-d90e-4859-8f42-4220832556ae,Tite_entries_entry-720.0_vitellius-bi.txt,205.1,890,894,,List Reference,,c1a1fabd-48b0-46bc-8b9f-338a1cddac8c
