CatalogNum	UUID	QUOTE_TRANSCRIPTION	Person	AuctionYear	Lot	PersonUUID
1009	63883f2b-94ea-4604-af40-4d149da9104a	Kemble                  (1797)	Kemble	1797		954c2e9f-9ab9-4812-8364-1c1ce00f0783
1009	ace53cfe-a4ba-44f1-8ed8-7ec6b4caafa7	Devonshire	Devonshire			
1009	efb02957-4821-4570-9d55-12fd16bb7158	Huntington	Huntington			
1010	9c0b1aa1-e26e-4864-84ee-d08fb2985754	Ouvry  (I, 1882, Lot 1568)	Ouvry	1882	1568	b6359d67-80ed-4646-a639-7ea5d31910bd
1010	37ab9d29-eda0-41f5-9741-1b024b77aa71	Locker	Locker			
1010	aa304967-7263-40d8-8f04-a3ea6104d430	Church  estate sale (1916, Lot 1137)	Church estate sale	1916	1137	fceea7d4-23a5-4083-ad6a-d8e60f8046e5
1010	b73dfaf6-27be-4c2e-b50d-c0c43439d017	Huntington  (VII,                              1918, Lot 855)	Huntington	1918	855	fb5e31b0-2730-47d9-9c40-9bb57adaf2a7
1011	7b33b323-09de-4415-ae1d-98be9d216521	, Heber (VI, 1835, Lot 3659)	Heber	1835	3659	d414be76-2ac4-41bf-92a7-d33acace6036
1011	ce564df6-695f-48c9-b352-72603c11fc99	Christie-Miller (1924, Lot 772).	Christie-Miller	1924	772	e8848712-da8c-4874-8696-f6308fe9d028
1013	ae39608d-f2f5-4b9e-863b-80690871aadc	Heber  (VII, 1835, Lot 5939)	Heber	1835	5939	f37481bd-656c-4213-8069-3692fee59727
1014	29a7e337-2ca7-4bfe-a820-54c911277eab	Hoef (III, 1912,                                 Lot  3256)	Hoe	1912	3256	160a9cd3-231b-4d23-93e0-0265e64d73d8
1014	23ced8e2-a177-4cff-9fc4-f2bca4b9fd2f	Jones (1923, Lot 192)	Jones	1923	192	1a07020a-a11b-4279-a5a1-d8632f695986
1015	870b9922-955f-4ff3-91db-597bb6c02dc0	Britwell (April 1924,                  Lot 573)	Britwell	1924	573	f635c743-1525-4d42-a843-951d7f566b7c
1016	f2ebdf18-6b26-4e0b-ab38-8450c609c025	Bridgewater	Bridgewater			
1016	89584487-aef7-4e3c-89d7-044e98c203d8	Huntington   (XII, 1920, Lot 321)	Huntington	1920	321	cc1c0d1a-8f13-47cc-91b6-73a238837b2c
1017.	3de584de-7e0f-4f3d-ae89-7e2b78d98e6b	Hoe (II, 1912, Lot 3275)	Hoe	1912	3275	6e4e4fe0-d444-40cf-b496-dc4a9a9ac230
1017.	e9eec3b9-2c69-412f-8106-ac40c0b63222	Huntington (VII, 1918, Lot 858)	Huntington	1918	858	8249b754-a655-45ee-b5cf-ba664b323a4e
1018	4400c820-f2b1-4fe6-8b4f-68f4fdd15c7a	Lefferts (1902, Lot 1331)	Lefferts	1902	1331	728497eb-6729-4981-b60d-f879a709ba09
1018	1832c67d-a337-483f-8114-ba38b7cf8b87	Hagen (1918, Lot 1341)	Hagen	1918	1341	df30344d-2e3f-40a3-9191-f292d77cd866
1019	cff4be08-4963-44c3-8f05-e684fa4952f5	Lefferts (1902, Lot 1332)	Lefferts	1902	1332	8a76e7ae-43fd-40b1-bcf9-0c46344937cd
1019	5b407446-b916-46a7-b83d-57752bf3547d	Hagen (1918,                                Lot 1340)	Hagen	1918	1340	f9011a39-86a2-4802-adc4-bfb726662cff
1020	c06525a5-f3a0-45b3-834b-c58bb99bb5c4	Lefferts (1902, Lot 1393)	Lefferts	1902	1393	b561f6f1-1e2e-4802-9374-f25b4815e0b2
1020	a9d01033-8852-404e-884e-e6b1a9f4b74b	Hagen (1918, Lot 1338)	Hagen	1918	1338	b3825b08-a99c-44ef-9639-97bdcb71c0a8
1021	49ce4a92-7b9c-492b-8d76-9e480a3db959	Lefferts (1902, Lot 1334)	Lefferts	1902	1334	32fc47de-7309-4e52-9b0d-2bda12724024
1021	44676317-9495-4346-9354-546fad048f37	Hagen  (1918, Lot 1339)	Hagen	1918	1339	92c3fc29-1d96-4e27-961d-8d720f648d13
1022	1966e0ec-8244-4a80-938c-2c8f7a5a7e6a	Percivall Beaumont	Percivall Beaumont			
1022	d6015fb8-8d94-4118-917e-310768c86326	Richard   Le Gallienne	Richard Le Gallienne			
1025	7a4934c5-721d-4085-92fa-8e077c05ecbf	Littledale (1820, Lot 827)	Littledale	1820	827	a19a4860-3623-45f7-8ebd-8f22c9683b02
1025	52359eb6-edbe-49e0-9682-a965be325ef6	Holmes   (1841, Lot  1373)	Holmes	1841	1373	bd65e7a1-e952-423d-a06e-054cd5e09400
1025	fb873449-17e7-4f95-ade4-8f149c04a86d	Ashburnham     (II, 1897, Lot 2599)	Ashburnham			744c4d15-0f8c-444b-b188-4e382c598757
1025	a9771874-fff0-4b3b-a14a-072c546e1883	Winans	Winans			
1026	783d149b-237e-422f-8a11-b42ad4b4240d	West (1773, Lot 1190)	West	1773	1190	2daa30b8-daf1-41fc-8b0b-50ad6f3985cf
1026	4b445e31-42de-4a5d-99d7-58b972b7e52e	Ratcliffe (1776, Lot 1214)	Ratcliffe	1776	1214	d55f41a2-85f5-4b3a-a94d-83c8c46135eb
1026	de7d2231-5f2c-4c26-91f7-9b4bf2d48a67	Hugh,                grd Earl of Marchmont  copy, and from him	Hugh, grd Earl of Marchmont			a3b54069-e593-4cf4-ac66-41a26dbd40f1
1026	2078d122-51e6-41ff-a164-6c69ac78ed33	Rt. Hon. Sir George Rose	Rt. Hon. Sir George Rose			
1026	1be05e05-c7eb-43c9-9d7a-5d591654ce85	Marchmont’s  grandson, Hugh  Scott of Harden, later Lord Polwarth. This book was                sold by his successor (Sotheby's 15 February 1909, Lot 64)	Marchmont’s grandson, Hugh Scott of Harden, later Lord Polwarth.	1909	64	327f38e2-6ade-4c5b-a817-a8f8bfeaa7ae
1026	2137176c-a2e8-4a2a-b49f-0f1d0f0a712d	Van Antwerp sale                (1922, Lot 5).	Van Antwerp	1922	5	748cb4d7-ec56-457e-88ec-a127d5e42665
1027	1a70a134-bf00-4428-85a2-9d04c242c32e	Jones (1918, Lot 506)	Jones	1918	506	52a6097d-f204-4240-873b-9a086dd2451d
1028	43e43b57-cd97-44ae-80c5-2a4ea03855e7	Hagen                                                                                                        Lot  1662,                 (1918, Lot 1347) copy	Hagen	1918	1347	0a226eba-0d71-46fe-be36-646d04aaa370
1028	ee58023b-c656-43db-ba09-a528d7acdf96	Sotheby's 22 June 1903,	Sotheby’s	1903		affa0234-af5d-481c-b740-f81c7312aa06
1029	c3d9855e-3114-4146-ab97-ec467c0fb0dd	Hoe (III, 1912, Lot 3315)	Hoe	1912	3315	562ea5d3-be37-481b-8872-fc9685c3a928
1030	9f4b1a87-896d-4651-89c5-a355cb075648	Huth (1X, 1920, Lot                   7847)	Huth	1920	7847	5256fca0-84cc-4c6f-b805-368e7f07e41a
1031	1649a03f-bee1-47ea-b2c7-d82b96eac9c8	Huth (IX, 1920, Lot 7848)	Huth	1920	7848	a5fbb724-9abd-4f44-95d0-db1a07305dab
1032	7aec672e-d565-4d7b-8495-97281ce30628	Forman (I, 1920, Lot 909)	Forman	1920	909	03c1b794-08f6-469f-9740-6c8d64f4a567
1033	536a174c-ec2b-4fa2-8527-11c9880ef901	Forman (I, 1920, Lot goo)	Forman	1920	900	13277909-1554-474d-8d0c-ac5bbc36c11b
1034	f30e19aa-36b7-4067-a6a8-23883466befd	Bridgewater	Bridgewater			
1034	ac72a7c8-b34f-4c0e-adca-6892b111bc8a	Huntington	Huntington			
1039	b52f6c7c-f486-416c-a439-ce413549fbc5	Forman  (I, 1920, Lot 895)	Forman	1920	895	67e0f7e7-5b15-4c42-a552-e5eebfe73ec7
1040	897073a2-341a-4121-9ce2-04d4eb105c81	Forman (I, 1920, Lot 893)	Forman	1920	893	5cd09ccc-bf92-4916-a326-0f3bb4888c52
1041	db6498c3-6d4e-4d73-9a9c-6724658963ef	Forman (I, 1920, Lot                                 894)	Forman	1920	894	c028e933-418f-4a51-bb87-b9c3ace37353
1041A	7c3a91cb-c8c0-4b32-ba59-450aecdf22c6	Forman (I, 1920, Lot 897)	Forman	1920	897	c46cb15d-3eb6-4c2a-a01b-24971f1a83a7
1042	064f625a-8ea7-42d5-9680-832bbd7d361b	Forman (I,                    1920, Lot 902)	Forman	1920	902	ac2ee5ba-efd4-4616-b60c-04fca8a3eb74
1043	71780cdc-d84a-443f-8466-0c4082a63142	Forman (I, 1920, Lot 896)	Forman	1920	896	cb7cf2b4-2404-4645-87b8-a5a3a293e01a
1044	73f5000d-b518-4c6d-8b30-d4262959f0b5	Halsey	Halsey			
1044	e993b5c6-f54c-45bc-90e3-09d0272d42a3	Huntington  (VII,                                    1918, Lot  887)	Huntington	1918	887	46442122-d62a-41b0-a99e-3f2c294ea940
1045	70d45880-22c2-48f9-aa15-eb02a2edddbd	Forman (I, 1920, Lot go1)	Forman	1920	901	e2e66458-2103-4908-9809-e7452cd00ace
1046	579f0cbb-db71-4013-8b5e-1bc6a6742aab	Britwell (1925, Lot 651)                                 copy.	Britwell	1925	651	f6abe14b-27bb-4d04-90b4-8f93b0bb2680
1047	e4b1fba8-c698-41b0-9d07-7a1b1999c742	Reed (1807, Lot 7208)	Reed	1807	7208	fa33effa-e25b-48c6-802d-5ab6045e7415
1047	8302fe8c-8625-4ada-9973-ba139d4985b3	Heber (IV, 1834, Lot 2855)	Heber	1834	2855	c79f2132-43c9-4057-b46c-ee8c4acb189f
1047	2c9d4068-f860-4bad-8ae3-88ee7f2c2499	Forman                (I, 1920, Lot 910	Forman	1920	910	f3af0730-d9e7-4ef6-8360-234c1511402f
105	daffe6e1-2d35-4afc-a0c0-83a1a60eb419	The J.H.Purdy (1917, Lot 78)	J.H.Purdy	1917	78	a2674aa0-ce50-4d8d-8015-2e0c17d456b8
1054	2464b246-dc91-4636-a0d0-946b39c19f57	James Wyllie Guild	James Wylie Guild			
1054	75796a37-b7c8-4226-a314-c2dd35e50a71	Bierstadt                (II, 1897, Lot 2281)	Bierstadt	1897	2281	01b2e8de-f446-473d-bf51-16a7fc59d962
1054	3656dc55-f822-4eb4-b58c-7cb4d1c5cf63	Lefferts (sold Bangs 22 January 1902}, Lot 471)	Lefferts	1902	471	05fea090-d47f-41cf-b984-387730018851
1054	a3fc7653-620e-4dd7-bab9-4625d962513a	Hagen (1918, Lot 1365)                with bookplates.	Hagen	1918	1365	df1cd0d0-46e4-4dcc-bd48-06a995e41f82
1055	669f4c0a-7ea0-46f1-b891-52db3472d639	William Bayntun of Gray’s Inn (1787) —	William Bayntun of Gray’s Inn	1787		ffd452ea-f70a-43e3-bc63-f2c27bdd5c87
1055	49b44d44-c731-4585-9fe8-dc3271c23f86	Heber (Il, 1834, Lot 6331)	Heber	1834	6331	4a731d80-d198-4d04-80d0-38c29b9ef824
1055	69b75e6e-8e77-4323-a248-a2d95ad563f3	Lefferts (1902, Lot 1382)	Lefferts	1902	1382	77c4a4bb-521d-4c79-ac7c-44ca88a24ebf
1055	bf997b5d-b731-4e60-8fdb-4959730589bb	Hagen    (1918, Lot 1367)	Hagen	1918	1367	2d32a943-c2e3-4a97-adff-3050f191ae05
1056	3e99b588-d18b-4021-be00-a4cb37ca4e73	J.G.Rebow	J.G. Rebow			
1056	0add0ae2-2902-4d6a-870b-006b0dad5caa	C.G,                                 Milnes Gaskell (1924, Lot 49)	C.G Milnes Gaskell	1924	49	b72746f4-6956-4d83-b4b7-6f6c357abb69
1057	2a0cc8cd-1236-436b-a066-ca9f30917a01	Huth (IX,                               1920, Lot 7911)	Huth	1920	7911	cc66bffe-6bb4-44b9-9cb5-664164c2b5ec
1059	648369a3-1ab9-4a0e-a598-3d5e8504984c	Daniel (1864, Lot 1739)	Daniel	1864	1739	a84101e0-76ad-4cc4-be26-91eb3220036f
1059	0b72c17a-c4a1-4bf7-9926-5d8b224befe1	Huth (VIII, 1919, Lot 7917)	Huth	1919	7917	8123bf1c-da34-4c8c-9a38-ca53ffb8dd89
1059	b6663b37-d137-4e74-8117-679f30c9c2e1	Clawson (II, 1926, Lot 877)	Clawson	1926	877	e3a57d73-535b-4d2b-8740-aca7ce9d666e
106	026cd993-e5cc-4fee-bd3b-d87d89b03e18	The Shakespeare Library (I, 1918, Lot 129)	Shakespeare Library	1918	129	d10d4712-20db-447a-9645-58228187bd62
1060	531e5845-7b65-4844-a60b-40531d9586e3	Holgate (1846, Lot 1020)	Holgate	1846	1020	b18ed394-1d65-4db8-a203-4054ce9bbbb9
1060	1c9e1712-139a-4d04-b201-998d8f50e3d0	Britwell              (1921, Lot 319)	Britwell	1921	319	4a78279b-c330-46c2-9cbc-546e1dc6b4b5
1061	4f65a4e8-b867-4562-9c0a-a0c712c0597a	Bridgewater	Bridgewater			
1062	f370fd1d-f6f9-42a4-b30c-19db3b4d122b	e McKee (IV, 1901,                Lot 3226)	McKee	1901	3226	ca477894-db48-41ae-8b85-789fe48b3407
1062	dc8df75f-e121-4c36-8f64-2fc8103b67fc	Chew	Chew			
1062	aa07b6b2-b766-4077-a1e0-31436135ef39	Huntington    (VII, 1918, Lot 918)	Huntington	1918	918	ef1fb969-9a55-4628-89de-74227b36f62d
1063	5c423e56-df80-452e-ad73-f67b73aef55b	Clawson  (II, 1926, Lot 891)	Clawson	1926	891	0165a299-0ec8-4c96-ad76-35ff545a7885
1064	5546aac9-1703-4630-b11d-9c62dd9da356	Fillingham (180s, Lot 489)	Fillingham	1805	489	63d1c493-6a6f-4edc-8029-43c465c5511d
1064	44bcb7ee-2eea-47a5-b6f9-7b2f5722a8c8	Heber  (VIII, 1836, Lot 2946)	Heber	1836	2946	7d9f89ec-84e7-4e67-8ce1-1d8fe9169c5d
1064	53629dc6-9b8d-4850-aa69-b70cdffb4466	Britwell (March 1924,                   Lot 817)	Britwell	1924	817	1b3f4a16-d88b-40f1-b0c2-a2ac4d1db95d
1064	4e0116ba-76c0-4698-a6f2-0c0f574beb79	Fillingham (1805, Lot 489)	Fillingham	1805	489	62e3fae9-b4cd-449c-bd32-8993bd8ab67a
1064	199e3d04-22c8-48e2-9cf2-34e9a0507367	Heber (VIII, 1836, Lot 2946)	Heber	1836	2946	1e5f0cc3-194b-4d23-823c-d4c1b3d99c07
1064	c3386ddc-2791-465f-ab6e-e0ff011d02c8	Britwell (March 1924,                Lot 817)	Britwell	1924		2dd647b5-8075-4d8d-95aa-eab5d5777528
1065	2ca8af5c-75ea-4f2a-a657-f37ff5c55f90	Heber (IV, 1834, Lot  2903)	Heber	1834	2903	83d5de10-4885-480e-8519-5417974fc22d
1065	05b6926f-bfd9-41f0-ace7-96cfefc64678	Britwell                                 (1923, Lot 712)	Britwell	1923	712	9542b02a-079f-465c-bda0-285fc4f5695a
1067	8996cda1-f00f-44c4-adce-56d843b30836	Mostyn (1919, Lot 350)	Mostyn	1919	350	fd23d35b-2372-4e6d-92ba-5808850b47db
1068	8181f886-d6ce-439c-a32c-ecd07c5aa466	Bright (1845, Lot 6068)	Bright	1845		a5eb0692-5112-4109-9740-7260c6349241
1068	22fe613b-2412-42c8-8da0-385834d1776e	Corser (VI, 1871, Lot 635)	Corser	1871	635	dd723629-82c3-43a1-a676-c251816af53d
1068	6d09b47e-9180-430d-88a6-0ed74f596f8c	Huth  (IX,                               1920, Lot 8063)	Huth	1920	8063	fe32d6c0-ab97-4d1b-b66c-c4a2ce12d648
1068	10b6c78a-e932-450c-b07a-d4845f68817c	Clawson (II, 1926, 894)	Clawson	1926	894	b9f37d2d-8f54-4447-a2e1-038ede606507
1069	557af41a-7878-41d0-aee9-85f922af5ce4	Britwell (March 1925, Lot 31)	Britwell	1925	31	024f770e-2dde-47b4-8d91-d125f2a32099
107	74b8ab7c-4cca-49e4-b717-7e000994a91e	The Holgate (1846, Lot 85)	Holgate	1846	85	d57fb7fe-9c93-46b8-875d-969899f57396
107	f7bad008-026f-4878-91ef-7ae06e8a1885	Lefferts (1902,  Lot 150)	Lefferts	1902	150	85ead7ac-5ac9-45f8-bf76-19adcaab044e
107	9c1af7e6-d28f-4bcb-80c2-fec2496cae0a	Chew	Chew			
107	4de21c8e-1022-4938-aaae-79faea032d22	Huntington (13 May 1919, Lot 148)	Huntington	1919	148	ea435e90-6798-4156-ab0a-6eec02e9127f
1070	2c9fa2f9-03fa-4723-a6c1-b686e2e03113	Chew	Chew			
1070	e66aca67-242e-466f-85ef-3139b7661c03	Huntington                              (VIII, 1918, Lot 400)	Huntington	1918	400	1b859844-60f7-422e-a902-7a1877c5a245
1072	c8119b85-a141-48c4-88eb-9b4d77d249e1	Hoe  (III, 1912, Lot  3389)	Hoe	1912	3389	c22ca054-4aa9-42aa-9b37-7b473ab1f706
1072	8ddf515d-b582-4932-bcdc-9278cdfaf567	Huntington  (VII, 1918, Lot 925)	Huntington	1918	925	c36fbdd3-b753-415b-a5ff-5370e9534a3e
1073	cb364fb3-700a-4074-8581-5e49272d6261	Mostyn                                (1919, Lot 354)	Mostyn	1919	354	07265e85-594d-4e1b-87cd-3a0bdb765036
1073	b7cf83e0-e871-4fdf-a25c-c5ed5407910e	Clawson  (II, 1926, Lot 898)	Clawson	1926	898	4f90baf8-23e9-4c40-ab1c-d919b5f2b69c
1074	cf68c0d0-8205-4995-a7d7-d4c580d3671f	Mostyn (1919, Lot 356)	Mostyn	1919	356	55bfe290-5d2d-4701-9177-e0e11fe428c0
1074	bd741879-52ef-4863-85f9-5bd82cc0640b	Clawson                  (II, 1926, Lot 899)	Clawson	1926	899	d5634c7e-0bb9-478c-80dd-e78e574c5c08
1075	140d3256-5c0e-4a14-9c68-1095523ff6a2	Roxburghe (1812, Lot                                677)	Roxburghe	1812	677	dcfdb77e-6438-453a-bbb6-6c791c4cd10d
1075	21ca71ae-369a-45e3-928b-970819ffcbe8	Heber (11, 1834, Lot 6261)	Heber	1834	6261	18d5d8b1-2d98-4026-afac-d78dca873d79
1075	18e1f91a-b428-4b38-b7cc-5cf5efe8bb3c	Devonshire	Devonshire			
1075	0ebf595d-0600-4591-b00f-890a8c44c151	Huntington (VII, 1918, Lot 872)	Huntington	1918	872	7e85663e-aa12-4a11-878f-8de51a44e74f
1075	f291e5d3-c212-4ed7-9bf2-214dc75c8905	Jones (III,                                1919, Lot 1662)	Jones	1919	1662	416fe752-66f9-4ba0-be03-fe3ac2bf74b6
1075	bd9b1282-1cc9-49cb-813e-2269ba86f723	Clawson (II, 1926, Lot 896)	Clawson	1926	896	738f5112-74e8-44d2-8b86-25ffd83fe4c8
1076	610594fc-612a-4781-8b27-ad48fbd6275d	Mostyn (1919, Lot 351)	Mostyn	1919	351	311b89da-3608-43f5-bffa-67dcbbf68b66
1077	8f210941-8a01-46ee-ad0e-77f50faf1e04	Huth  (VII, 1918, Lot                              6929)	Huth	1918	6929	348afae7-5870-48e9-8ff8-bd5c5b4d0821
1078	d0307914-4904-4ffe-9499-92bb9d46c30d	Black (1844, Lot 3582)	Black	1844	3582	09a049ca-bb37-48a3-a346-1792ae7c622f
1078	b58f8518-4f4b-4055-9ca1-55c6e05bb24a	Britwell (1924,                   Lot 832)	Britwell	1924	832	8182ca75-d156-4782-b7de-456cd4fb989f
1079	63acb39c-24e2-4bb5-beea-9767cda630d5	Ross  Winans	Ross Winans			
108	c026960d-3bc5-4dcc-9904-4e2e6e98afdb	The Bridgewater	Bridgewater			
108	8a543b94-2236-4d78-9899-ae954b66b277	Huntington (VII, 1918,  Lot 52)	Huntington	1918	52	afcf279d-0a0a-4c89-a3d2-10ae63a37ebb
108	a26f2c94-e299-4093-a9cd-bb507a02dd60	Clawson (I, 1926, Lot 94)	Clawson	1926	94	682e0aee-857a-40a3-8a73-fa8d9fc7b7c8
1080	3339b281-1434-4399-a850-c74561572fdd	W.T. Wallace                                 (1920, Lot 1542)	W.T. Wallace	1920	1542	f5a6956b-556b-44e2-bf07-5a1c0578fd50
1080	ff57d82a-0d35-4215-bdf3-712154c18fd7	Clawson   (II, 1926, Lot 916)	Clawson	1926	916	d775c9fd-a177-460a-9027-0b999aaade5b
1081	55a15510-9b52-4c19-bb72-7eb8e7310ed7	James Crossley	James Crossley			
1081	6cddee18-0265-4d7c-b808-f2721521473a	Chew	Chew			
1081	46bcf53a-f8e4-49bc-aa83-842def7c4bd7	Huntington                (VII, 1918, Lot 937)	Huntington	1918	937	332bae8c-aa43-4760-8e58-3442398e3097
1081	2e5c964b-d7c6-4528-bf68-f85f56914b94	Narcissus Luttrell (not listed in Wynne sale)	Narcissus Luttrell			9ca7a1f9-0008-48c3-9ca3-91f28e463112
1081	0378da3e-480f-4148-b11e-b17da4f7dada	Farmer (1798, Lot 7377)	Farmer	1798	7377	cb8595ed-af08-411a-97ff-1e9ab3a37e19
1081	66ac1227-5fd9-4ffe-bb72-05d5957b5bab	Bindley (IV, 1820, Lot 408)	Bindley	1820	408	20dd2953-e9e6-4cd0-bfce-192a21af9ada
1081	58a9df7b-2087-4fad-86cd-03fab5225875	Heber (IV, 1834, Lot 3027	Heber	1834	3027	cfe407b2-efba-4430-b419-2fed143da77e
1081	146fd543-ba0b-4af5-8c02-93e4e7aba179	Sir Mark                               Dalrymple (1937, Lot 438)	Sir Mark Dalrymple	1937	438	b693332c-f4aa-4495-abd0-68d2499f2c6a
1083	66c0509a-b4fc-4379-aa9d-80614ca009fb	Heber (IV, 1834, Lot 2936)	Heber	1834	2936	56620724-7757-424c-96ed-1fe7181193f4
1083	8e25bbec-6985-4cd3-b44c-1b1a13fad166	Britwell (1924,                Lot  839)	Britwell	1924	839	4a9cda0f-b860-4df0-a00f-831e01a3eda4
1084	09739cc7-0f47-44c3-b092-ae6ec863d4ff	Heber  (IV,  1834, Lot 2936)	Heber	1834	2936	d405bbc1-f2da-4d31-b3cd-2525038c1830
1084	675a9dcd-b861-4798-8500-a99aac6b4b7d	Britwell                                 (1924, Lot 839)	Britwell	1924	839	20553d14-c0fb-4ff7-89c6-b14f822ef75b
1085	3cb01aa7-ca15-4b74-903d-ef88eca0734d	Jones (III, 1919, Lot                  1668)	Jones	1919	1668	b580c72a-fa87-4736-b326-52a709aeeead
1085	e2bea4ff-c3fd-42ad-8d5d-254c1631a5b4	Clawson  (II, 1926, Lot 909)	Clawson	1926	909	80a7135f-05e0-454a-a1a4-0928e0bb475b
1086	4e9427d5-8257-4aa4-934f-47055786f746	Hoe (IV, 1912, Lot 3284)	Hoe	1912	3284	4699eca6-13ec-4f9e-994f-dd19f1aba338
1087	35b1aa1d-4237-47fe-b713-a84775ac6b30	John                 Scott (1905, Lot  886)	John Scott	1905	886	34b11e96-ce5a-4cad-931b-dbed14c91d62
1087	d5a77eef-c885-4e01-a30a-7efa25ca870a	Hoe   (IV, 1912, Lot 3280)	Hoe	1912	3280	4848de21-1925-46f8-879d-d7d5327f6484
1087	4cc8880c-5f50-4cd9-a5d9-645371c4da0c	Vickery    (1933, Lot 162)	Vickery	1933	162	2977e009-41db-4030-b7fb-ae4e074f9476
1088	d161c68a-8a2f-4bc9-a22c-f16ac3fcae78	Bridgewater	Bridgewater			
1088	d859a36f-3a0f-45da-b2f0-cadd89af2415	Huntington (VII, 1918,                                Lot 933)	Huntington	1918	933	b36b38ff-68c5-4a2e-b186-9a8694e24d9c
1089	1fd71002-2bc6-4382-85e0-2e138bb37c8f	Hoe (IV, 1912, Lot 3281)	Hoe	1912	3281	b7e26b1b-5912-4dc2-a06e-f281091ed24a
1089	02d26722-7395-445a-a5c0-0bcdce72b8be	Chew    (I,                 1924, Lot 461)	Chew	1924	461	b8048e04-aac0-4106-8425-cd7f34dd8f59
1091-1	7eb1ca35-e609-4471-ac85-b13885730530	Hoe (IV, 1912, Lot 3283)	Hoe	1912	3283	f723e3f6-c6f0-4496-bc75-33a5b9890ab4
1091-1	b121ff74-7d5f-4f41-b1f3-502f5e42bb51	Chew (I, 1924,                  Lot 463)	Chew	1924	463	60141188-90e8-45f0-81ae-1b5a5e514801
1091-2	00c5ac15-085d-4453-b01c-4b826ba868f3	Forman  (I, 1920, Lot 971)	Forman	1920	971	9ba9459e-2b50-4f4f-8b18-5b83ffdbc8da
1092	c30d08ca-77d6-4149-b42d-c24c3045aea3	Chew	Chew			
1092	4c0433d6-79ca-4c2b-962d-07a841fde12b	Huntington (VII, 1918, Lot 932)	Huntington	1918	932	c4170f3a-1bca-43b7-b837-e0d32e599fb7
